time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,0,0,0,0,0,0,59,61,80,60,100,-63.08,6,10.0,18.0,-970.0
0.061,0,0,0,0,0,0,59,61,80,60,100,-63.08,6,10.0,18.0,-970.0
0.124,0,0,0,0,0,0,59,61,80,60,100,-63.06,6,-31.0,49.0,-1010.0
0.186,0,0,0,0,0,0,59,61,80,60,100,-63.09,6,0.0,24.0,-1013.0
0.246,0,0,0,0,0,0,59,61,80,60,100,-63.09,6,0.0,24.0,-1013.0
0.308,0,0,0,0,0,0,59,61,80,60,100,-63.11,6,9.0,4.0,-1010.0
0.370,0,0,0,0,0,0,59,61,80,60,100,-63.11,6,9.0,4.0,-1010.0
0.432,0,0,0,0,0,0,59,62,81,60,100,-63.1,6,5.0,8.0,-1007.0
0.494,0,0,0,0,0,0,59,62,81,60,100,-63.14,6,-2.0,17.0,-989.0
0.555,0,0,0,0,0,0,59,62,81,60,100,-63.14,6,-2.0,17.0,-989.0
0.619,0,0,0,0,0,0,59,62,81,60,100,-63.09,6,0.0,3.0,-1002.0
0.682,0,0,0,0,0,0,59,62,81,60,100,-63.09,6,0.0,3.0,-1002.0
0.743,0,0,0,0,0,0,59,62,81,60,100,-63.1,6,7.0,0.0,-997.0
0.805,1,-1,-4,0,0,0,59,62,81,60,100,-63.0,7,0.0,-7.0,-1002.0
0.867,1,-1,-4,0,0,0,59,62,81,60,100,-63.0,7,0.0,-7.0,-1002.0
0.929,0,-2,-9,0,0,0,59,62,81,60,100,-63.08,7,-2.0,4.0,-992.0
0.991,0,-2,-9,0,0,0,59,62,81,60,100,-63.08,7,-2.0,4.0,-992.0
1.052,0,0,-4,0,0,0,59,62,82,60,100,-63.09,7,-489.0,-580.0,-566.0
1.115,0,0,0,0,0,0,59,62,82,60,100,-63.1,7,18.0,-13.0,-1102.0
1.176,0,0,0,0,0,0,59,62,82,60,100,-63.1,7,18.0,-13.0,-1102.0
