time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,0,0,-90,0,0,0,63,65,78,30,89,-65.75,38,17.0,9.0,-990.0
0.063,0,0,-90,0,0,0,63,65,78,30,89,-65.77,38,13.0,-3.0,-988.0
0.125,0,0,-90,0,0,0,63,65,78,30,89,-65.77,38,13.0,-3.0,-988.0
0.188,0,0,-90,0,0,0,63,65,78,30,89,-65.79,38,27.0,-10.0,-994.0
0.249,0,0,-89,0,0,0,63,65,78,30,89,-65.79,38,10.0,9.0,-1007.0
0.312,0,0,-89,0,0,0,63,65,78,30,89,-65.79,38,10.0,9.0,-1007.0
0.373,0,0,-86,0,0,0,63,65,78,30,89,-65.79,38,21.0,6.0,-1012.0
0.436,0,0,-86,0,0,0,63,65,78,30,89,-65.79,38,21.0,6.0,-1012.0
0.498,0,0,-83,0,0,0,63,65,79,30,89,-65.76,38,25.0,7.0,-1009.0
0.560,0,0,-80,0,0,0,63,65,79,30,89,-65.81,38,14.0,0.0,-989.0
0.622,0,0,-80,0,0,0,63,65,79,30,89,-65.81,38,14.0,0.0,-989.0
0.685,0,0,-77,0,0,0,63,65,78,30,89,-65.8,38,6.0,1.0,-999.0
0.747,0,0,-77,0,0,0,63,65,78,30,89,-65.8,38,6.0,1.0,-999.0
0.810,0,0,-74,0,0,0,64,65,78,30,89,-65.82,38,9.0,0.0,-991.0
0.872,0,0,-71,0,0,0,64,65,78,30,89,-65.74,39,-13.0,8.0,-1003.0
0.935,0,0,-71,0,0,0,64,65,78,30,89,-65.74,39,-13.0,8.0,-1003.0
0.998,0,0,-68,0,-1,0,64,65,77,30,89,-65.72,39,13.0,9.0,-1008.0
1.060,0,0,-66,0,-1,0,64,65,77,30,89,-65.82,39,-7.0,-8.0,-979.0
1.122,0,0,-66,0,-1,0,64,65,77,30,89,-65.82,39,-7.0,-8.0,-979.0
1.184,0,0,-63,0,-1,0,64,65,76,30,89,-65.84,39,3.0,4.0,-998.0
1.245,0,0,-63,0,-1,0,64,65,76,30,89,-65.84,39,3.0,4.0,-998.0
1.306,0,0,-60,0,-1,0,64,65,77,20,89,-65.81,39,9.0,7.0,-1004.0
1.367,0,0,-57,0,-1,0,64,65,76,20,89,-65.86,39,1.0,1.0,-998.0
1.430,0,0,-57,0,-1,0,64,65,76,20,89,-65.86,39,1.0,1.0,-998.0
1.492,0,0,-55,0,-1,0,64,65,76,20,89,-65.84,39,-2.0,-2.0,-997.0
1.555,0,0,-55,0,-1,0,64,65,76,20,89,-65.84,39,-2.0,-2.0,-997.0
1.617,0,0,-52,0,-1,0,64,65,75,20,89,-65.8,39,-9.0,-2.0,-998.0
1.680,0,0,-49,0,-1,0,64,65,75,20,89,-65.85,39,-1.0,3.0,-995.0
1.742,0,0,-49,0,-1,0,64,65,75,20,89,-65.85,39,-1.0,3.0,-995.0
1.805,0,0,-43,0,-1,0,63,66,75,20,89,-65.81,40,2.0,5.0,-1004.0
1.867,0,0,-43,0,-1,0,63,66,75,20,89,-65.81,40,2.0,5.0,-1004.0
1.928,0,0,-40,0,-1,0,63,66,75,20,89,-65.79,40,19.0,3.0,-999.0
1.991,0,0,-37,0,-1,0,63,66,74,20,89,-65.78,40,-13.0,4.0,-1000.0
2.054,0,0,-37,0,-1,0,63,66,74,20,89,-65.78,40,-13.0,4.0,-1000.0
2.117,0,0,-34,1,-1,0,63,66,75,20,89,-65.91,40,1.0,2.0,-1007.0
2.179,0,0,-34,1,-1,0,63,66,75,20,89,-65.91,40,1.0,2.0,-1007.0
2.242,0,0,-32,1,-1,0,63,66,74,20,89,-65.83,40,-2.0,5.0,-1002.0
2.303,0,0,-29,1,-1,0,63,66,74,20,89,-65.82,40,0.0,4.0,-997.0
2.366,0,0,-26,1,-1,0,63,66,75,20,89,-65.77,40,3.0,7.0,-1001.0
2.428,0,0,-26,1,-1,0,63,66,75,20,89,-65.77,40,3.0,7.0,-1001.0
2.490,0,0,-23,1,-1,0,63,66,74,20,89,-65.79,40,-3.0,6.0,-997.0
2.553,0,0,-20,1,-1,0,63,66,74,20,89,-65.72,40,-2.0,7.0,-1009.0
2.614,0,0,-20,1,-1,0,63,66,74,20,89,-65.72,40,-2.0,7.0,-1009.0
2.676,0,0,-17,1,-1,0,63,66,74,20,89,-65.78,40,3.0,-6.0,-981.0
2.738,0,0,-17,1,-1,0,63,66,74,20,89,-65.78,40,3.0,-6.0,-981.0
2.800,0,0,-14,1,-1,0,64,66,74,20,89,-65.8,41,7.0,12.0,-1007.0
2.861,0,0,-11,1,0,0,64,66,74,20,89,-65.84,41,-18.0,0.0,-996.0
2.923,0,0,-11,1,0,0,64,66,74,20,89,-65.84,41,-18.0,0.0,-996.0
2.987,0,0,-8,1,0,0,64,66,74,20,89,-65.74,41,-3.0,6.0,-993.0
3.050,0,0,-5,1,0,0,64,66,75,20,89,-65.84,41,-1.0,1.0,-1001.0
3.112,0,0,-5,1,0,0,64,66,75,20,89,-65.84,41,-1.0,1.0,-1001.0
3.173,0,0,-2,1,0,0,64,66,75,20,89,-65.81,41,23.0,7.0,-1015.0
3.236,0,0,-2,1,0,0,64,66,75,20,89,-65.81,41,23.0,7.0,-1015.0
3.299,0,0,0,1,0,0,64,66,75,20,89,-65.78,41,-6.0,2.0,-991.0
3.362,0,0,3,1,0,0,64,66,75,20,89,-65.8,41,8.0,4.0,-1007.0
3.424,0,0,3,1,0,0,64,66,75,20,89,-65.8,41,8.0,4.0,-1007.0
3.485,0,0,6,1,0,0,64,66,75,20,89,-65.84,41,10.0,8.0,-1003.0
3.548,0,0,6,1,0,0,64,66,75,20,89,-65.84,41,10.0,8.0,-1003.0
3.610,0,0,9,1,0,0,64,66,75,20,89,-65.86,41,5.0,-6.0,-986.0
