time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,0,0,-92,0,0,0,83,85,81,70,85,-66.19,73,27.0,10.0,-977.0
0.062,0,0,-92,0,0,0,83,85,81,70,85,-66.19,73,27.0,10.0,-977.0
0.125,0,0,-92,0,0,0,83,85,81,70,85,-66.18,73,26.0,9.0,-996.0
0.187,0,0,-90,0,0,0,83,85,82,70,85,-66.12,73,35.0,12.0,-1013.0
0.248,0,0,-90,0,0,0,83,85,82,70,85,-66.12,73,35.0,12.0,-1013.0
0.310,0,0,-87,0,0,0,83,85,82,70,85,-66.17,73,-2.0,12.0,-996.0
0.373,0,0,-87,0,0,0,83,85,82,70,85,-66.17,73,-2.0,12.0,-996.0
0.436,-1,0,-84,0,0,0,83,85,81,70,85,-66.14,74,15.0,8.0,-996.0
0.498,0,0,-81,0,0,0,83,85,82,70,85,-66.2,74,8.0,2.0,-993.0
0.560,0,0,-81,0,0,0,83,85,82,70,85,-66.2,74,8.0,2.0,-993.0
0.621,0,-1,-78,0,0,0,83,85,82,70,85,-66.26,74,2.0,8.0,-992.0
0.683,0,-1,-78,0,0,0,83,85,82,70,85,-66.26,74,2.0,8.0,-992.0
0.747,0,0,-75,0,0,0,83,85,82,70,85,-66.18,74,-2.0,23.0,-1017.0
0.809,0,0,-72,0,0,0,81,84,82,70,85,-66.14,74,-28.0,6.0,-981.0
0.870,0,0,-72,0,0,0,81,84,82,70,85,-66.14,74,-28.0,6.0,-981.0
0.932,0,0,-70,0,-1,0,81,84,82,70,85,-66.19,74,-11.0,4.0,-1001.0
0.994,0,0,-67,0,-1,0,81,84,82,70,85,-66.19,74,4.0,15.0,-1011.0
1.057,0,0,-67,0,-1,0,81,84,82,70,85,-66.19,74,4.0,15.0,-1011.0
1.119,0,0,-64,0,0,0,81,84,81,70,85,-66.24,74,-3.0,6.0,-1010.0
1.181,0,0,-64,0,0,0,81,84,81,70,85,-66.24,74,-3.0,6.0,-1010.0
1.243,0,0,-61,0,-1,0,81,84,81,70,85,-66.27,74,-2.0,22.0,-1015.0
1.304,0,0,-58,0,-1,0,81,84,81,70,85,-66.2,74,2.0,6.0,-1003.0
1.366,0,0,-58,0,-1,0,81,84,81,70,85,-66.2,74,2.0,6.0,-1003.0
1.428,0,0,-56,0,-1,0,81,84,82,70,85,-66.22,75,-22.0,14.0,-993.0
1.490,0,0,-56,0,-1,0,81,84,82,70,85,-66.22,75,-22.0,14.0,-993.0
1.552,0,0,-53,0,-1,0,81,84,82,70,85,-66.17,75,0.0,-6.0,-956.0
1.615,0,0,-50,0,-1,0,81,84,81,70,85,-66.21,75,-18.0,-4.0,-974.0
1.677,0,0,-50,0,-1,0,81,84,81,70,85,-66.21,75,-18.0,-4.0,-974.0
1.739,0,0,-47,0,-1,0,81,84,81,70,85,-66.14,75,4.0,7.0,-1000.0
1.802,0,0,-47,0,-1,0,81,84,81,70,85,-66.14,75,4.0,7.0,-1000.0
1.864,0,0,-45,0,-1,0,82,83,81,70,85,-66.14,75,-13.0,2.0,-1011.0
1.927,0,0,-36,-2,0,0,82,83,78,70,85,-66.15,75,33.0,46.0,-1275.0
1.989,0,0,-36,-2,0,0,82,83,78,70,85,-66.15,75,33.0,46.0,-1275.0
2.051,-9,3,-30,-1,0,0,82,83,84,70,85,-66.23,75,44.0,40.0,-970.0
2.113,-5,1,-29,0,-1,0,82,83,83,70,85,-66.18,75,18.0,16.0,-1010.0
2.175,-5,1,-29,0,-1,0,82,83,83,70,85,-66.18,75,18.0,16.0,-1010.0
2.237,-1,0,-27,0,-1,0,82,83,83,70,85,-66.15,75,-9.0,7.0,-1004.0
2.299,-1,0,-27,0,-1,0,82,83,83,70,85,-66.15,75,-9.0,7.0,-1004.0
2.361,-1,0,-25,1,-1,0,82,83,84,70,85,-66.12,75,24.0,17.0,-1012.0
2.422,0,0,-23,2,-1,0,82,83,84,70,85,-66.11,76,32.0,1.0,-998.0
2.485,0,0,-23,2,-1,0,82,83,84,70,85,-66.11,76,32.0,1.0,-998.0
2.547,1,0,-21,2,-1,0,82,83,84,70,85,-66.15,76,17.0,16.0,-999.0
2.608,1,0,-19,2,-1,0,82,83,84,70,85,-66.17,76,38.0,5.0,-997.0
2.670,1,0,-19,2,-1,0,82,83,84,70,85,-66.17,76,38.0,5.0,-997.0
2.732,2,0,-17,2,-1,0,82,83,84,70,85,-66.15,76,19.0,6.0,-1012.0
2.794,2,0,-17,2,-1,0,82,83,84,70,85,-66.15,76,19.0,6.0,-1012.0
2.856,2,0,-15,2,-1,0,80,84,85,70,85,-66.2,76,22.0,15.0,-1010.0
2.917,2,0,-15,2,-1,0,80,84,85,70,85,-66.2,76,22.0,15.0,-1010.0
2.979,1,0,-12,2,0,0,80,84,85,70,85,-66.26,76,21.0,25.0,-1006.0
3.042,1,0,-9,2,0,0,80,84,85,70,85,-66.17,76,1.0,22.0,-1008.0
3.105,1,0,-7,2,0,0,80,84,86,70,85,-66.21,76,10.0,10.0,-983.0
3.168,1,0,-7,2,0,0,80,84,86,70,85,-66.21,76,10.0,10.0,-983.0
3.230,1,0,-4,2,0,0,80,84,85,70,85,-66.12,76,-13.0,-6.0,-970.0
3.291,0,0,-1,1,0,0,80,84,85,70,85,-66.11,76,11.0,1.0,-989.0
3.354,0,0,-1,1,0,0,80,84,85,70,85,-66.11,76,11.0,1.0,-989.0
3.416,2,0,2,0,-2,1,80,84,76,70,85,-66.08,77,-108.0,-74.0,-1289.0
3.477,2,0,2,0,-2,1,80,84,76,70,85,-66.08,77,-108.0,-74.0,-1289.0
3.539,0,0,4,-1,-3,0,80,84,85,70,85,-66.23,77,32.0,30.0,-1005.0
3.601,-7,5,6,0,-2,0,80,84,87,70,85,-66.22,77,81.0,38.0,-912.0
3.663,-7,5,6,0,-2,0,80,84,87,70,85,-66.22,77,81.0,38.0,-912.0
3.725,-5,3,8,0,-1,0,80,84,86,70,85,-66.14,77,4.0,12.0,-997.0
3.788,-5,3,8,0,-1,0,80,84,86,70,85,-66.14,77,4.0,12.0,-997.0
3.848,-2,1,11,1,0,0,81,83,86,70,85,-66.12,77,24.0,13.0,-1024.0
3.911,-1,0,14,2,0,0,81,83,85,70,85,-66.15,77,17.0,15.0,-1021.0
3.972,-1,0,14,2,0,0,81,83,85,70,85,-66.15,77,17.0,15.0,-1021.0
4.034,0,0,17,2,0,0,81,83,85,70,85,-66.11,77,20.0,7.0,-1002.0
4.096,0,0,17,2,0,0,81,83,85,70,85,-66.11,77,20.0,7.0,-1002.0
4.160,0,0,20,1,0,0,81,83,85,70,85,-66.05,77,28.0,20.0,-1009.0
4.222,0,0,23,1,0,0,81,83,85,70,85,-66.16,77,17.0,-1.0,-1009.0
4.284,0,0,23,1,0,0,81,83,85,70,85,-66.16,77,17.0,-1.0,-1009.0
4.345,0,0,26,1,0,0,81,83,85,70,85,-66.19,77,29.0,10.0,-1010.0
4.406,0,0,26,1,0,0,81,83,85,70,85,-66.19,77,29.0,10.0,-1010.0
4.468,0,0,28,1,0,0,81,83,85,70,85,-66.19,78,32.0,9.0,-1000.0
4.531,0,0,31,2,0,0,81,83,85,70,85,-66.16,78,16.0,6.0,-990.0
4.594,0,0,31,2,0,0,81,83,85,70,85,-66.16,78,16.0,6.0,-990.0
4.656,0,0,33,2,0,0,81,83,85,70,85,-66.22,78,8.0,4.0,-974.0
4.717,0,0,36,2,1,0,81,83,85,70,85,-66.12,78,23.0,8.0,-985.0
4.779,0,0,36,2,1,0,81,83,85,70,85,-66.12,78,23.0,8.0,-985.0
4.841,0,0,38,2,1,0,81,83,84,70,85,-66.2,78,15.0,14.0,-989.0
4.903,0,0,38,2,1,0,81,83,84,70,85,-66.2,78,15.0,14.0,-989.0
4.964,0,0,41,2,1,0,81,83,84,70,85,-66.22,78,8.0,15.0,-1006.0
