time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,0,0,0,0,0,0,74,75,80,60,72,-66.18,5,-11.0,0.0,-990.0
0.110,0,0,0,0,0,0,74,75,80,60,72,-66.19,6,0.0,6.0,-996.0
0.219,0,0,0,0,0,0,74,75,80,60,72,-66.14,6,2.0,1.0,-991.0
0.329,0,0,0,0,0,0,73,76,80,60,72,-66.17,6,6.0,-6.0,-986.0
0.436,0,0,0,0,0,0,73,76,80,60,72,-66.18,6,-5.0,12.0,-992.0
0.545,0,0,0,0,0,0,73,76,79,60,72,-66.18,6,-2.0,5.0,-994.0
0.652,0,0,0,0,0,0,73,76,80,60,72,-66.15,6,-11.0,6.0,-993.0
0.760,0,0,0,0,0,0,73,76,80,60,72,-66.14,6,7.0,-7.0,-993.0
0.870,0,0,0,0,0,0,73,76,80,60,72,-66.12,6,6.0,-1.0,-1003.0
0.979,0,0,0,0,0,0,73,76,80,60,72,-66.1,7,-9.0,11.0,-1000.0
1.088,1,0,0,0,0,0,73,76,80,60,72,-66.08,7,6.0,-3.0,-1002.0
1.197,1,0,0,0,0,0,73,76,80,60,72,-66.15,7,7.0,6.0,-1001.0
1.305,1,0,0,0,0,0,73,76,80,60,72,-66.16,7,-1.0,5.0,-998.0
1.414,1,0,0,0,0,0,73,76,80,60,72,-66.14,7,1.0,16.0,-1000.0
1.524,1,0,0,0,0,0,73,76,80,60,72,-66.15,7,0.0,16.0,-999.0
1.633,0,0,0,0,0,0,73,76,81,60,72,-66.11,7,14.0,-1.0,-1002.0
1.740,0,0,0,0,0,0,73,76,81,60,72,-66.13,7,-4.0,8.0,-1008.0
1.849,0,0,0,0,0,0,73,76,81,60,72,-66.15,7,15.0,0.0,-1003.0
1.961,-2,0,0,0,0,0,73,76,81,60,72,-66.17,7,4.0,5.0,-995.0
2.071,-3,0,0,0,0,0,73,76,81,60,72,-66.13,8,-13.0,24.0,-999.0
2.179,-3,0,0,1,0,0,73,76,81,60,72,-66.15,8,-17.0,12.0,-992.0
2.288,-3,0,0,1,0,0,73,76,81,60,72,-66.15,8,-16.0,19.0,-992.0
2.398,-2,0,0,2,0,0,73,76,82,60,72,-66.14,8,-25.0,15.0,-998.0
2.507,-2,0,0,3,0,0,73,76,81,60,72,-66.17,8,-28.0,4.0,-999.0
2.617,-2,0,0,3,0,0,73,76,81,60,72,-66.22,8,-28.0,-8.0,-1001.0
2.725,-2,0,0,3,0,0,73,76,81,60,72,-66.16,8,-35.0,-2.0,-1000.0
2.834,-2,0,0,3,0,0,73,76,81,60,72,-66.15,8,-40.0,0.0,-996.0
2.942,-2,0,0,4,0,0,73,76,82,60,72,-66.21,8,-31.0,4.0,-998.0
3.051,-2,0,0,4,0,0,73,76,81,60,72,-66.19,9,-42.0,-2.0,-995.0
3.160,-2,0,0,4,0,0,73,76,81,60,72,-66.23,9,-24.0,-11.0,-982.0
3.269,-2,0,0,4,0,0,73,76,80,60,72,-66.17,9,-45.0,6.0,-994.0
3.377,-2,0,0,4,0,0,73,76,80,60,72,-66.22,9,-47.0,6.0,-996.0
3.485,-1,0,0,4,0,0,73,76,79,60,72,-66.28,9,-53.0,14.0,-998.0
3.594,-1,0,0,4,0,0,73,76,79,60,72,-66.25,9,-51.0,-1.0,-987.0
3.702,-2,0,0,4,0,0,73,76,78,60,72,-66.25,9,-42.0,9.0,-1001.0
3.812,-1,0,0,5,0,0,73,76,78,60,72,-66.26,9,-39.0,8.0,-999.0
3.922,-1,0,0,5,0,0,73,76,78,60,72,-66.31,9,-46.0,13.0,-1000.0
4.032,-1,0,0,5,0,0,73,76,77,60,72,-66.22,10,-55.0,21.0,-1009.0
4.142,-1,0,0,5,0,0,73,76,78,60,72,-66.25,10,-49.0,11.0,-1007.0
4.251,-1,0,0,5,0,0,73,76,78,60,72,-66.29,10,-60.0,17.0,-998.0
4.361,-1,0,0,5,0,0,73,76,77,60,72,-66.2,10,-54.0,12.0,-995.0
4.469,-1,0,0,5,0,0,73,76,78,60,72,-66.15,10,-36.0,7.0,-995.0
4.577,-1,-1,0,5,0,0,73,76,77,60,72,-66.12,10,-45.0,0.0,-1001.0
4.685,-4,4,11,2,0,0,73,76,79,60,72,-66.2,10,-68.0,97.0,-1213.0
4.795,-6,0,42,2,0,0,73,76,79,60,72,-66.2,10,-29.0,56.0,-987.0
4.903,-1,-4,62,3,0,0,73,76,79,60,72,-66.3,10,-49.0,46.0,-973.0
