time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,0,0,-14,0,0,0,86,87,78,60,85,-60.99,6,-13.0,16.0,-990.0
0.063,0,0,-14,0,0,0,86,87,78,60,85,-60.96,6,-30.0,17.0,-1003.0
0.125,0,0,-14,0,0,0,86,87,78,60,85,-60.96,6,-30.0,17.0,-1003.0
0.188,0,0,-14,0,0,0,86,87,78,60,85,-60.96,6,-30.0,17.0,-1003.0
0.250,0,0,-14,0,0,0,86,87,79,60,85,-60.96,6,-18.0,15.0,-992.0
0.311,0,0,-14,0,0,0,86,87,78,60,85,-60.99,6,-30.0,17.0,-988.0
0.375,0,0,-14,0,0,0,86,87,78,60,85,-60.99,6,-30.0,17.0,-988.0
0.437,-1,0,-13,0,0,0,86,87,78,60,85,-60.81,6,-35.0,20.0,-980.0
0.500,-1,-1,-13,0,0,0,86,87,78,60,85,-60.56,6,-43.0,-10.0,-966.0
0.562,-1,-1,-13,0,0,0,86,87,78,60,85,-60.56,6,-43.0,-10.0,-966.0
0.625,-2,-2,-13,0,0,0,86,87,78,60,85,-60.96,6,1.0,-65.0,-1082.0
0.687,-2,0,-13,0,0,0,85,88,78,60,85,-61.16,6,-5.0,5.0,-997.0
0.750,-2,0,-13,0,0,0,85,88,78,60,85,-61.16,6,-5.0,5.0,-997.0
0.812,-1,2,-13,0,0,0,85,88,79,60,85,-61.0,6,-22.0,29.0,-988.0
0.874,0,1,-14,0,0,0,85,88,79,60,85,-61.07,6,-20.0,41.0,-1002.0
0.937,0,1,-14,0,0,0,85,88,79,60,85,-61.07,6,-20.0,41.0,-1002.0
1.001,0,0,-14,0,0,0,85,88,79,60,85,-60.9,7,-25.0,38.0,-979.0
1.064,0,0,-14,0,0,0,85,88,79,60,85,-60.9,7,-25.0,38.0,-979.0
1.128,0,-1,-14,0,0,0,85,88,79,60,85,-60.66,7,-108.0,-19.0,-980.0
1.192,0,-1,-14,0,0,0,85,88,79,60,85,-60.66,7,-108.0,-19.0,-980.0
1.255,-1,-2,-13,0,0,0,85,88,78,60,85,-59.66,7,-68.0,147.0,-693.0
1.317,-5,-2,-13,-1,1,3,85,88,74,60,85,-59.27,7,4.0,87.0,-897.0
1.380,-5,-2,-13,-1,1,3,85,88,74,60,85,-59.27,7,4.0,87.0,-897.0
