time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,2,0,47,0,0,0,89,92,10,0,78,-60.64,19,38.0,17.0,-1000.0
0.063,2,0,47,0,0,0,89,92,10,0,78,-60.64,19,38.0,17.0,-1000.0
0.125,2,0,47,0,0,0,89,92,10,0,78,-60.66,19,38.0,17.0,-999.0
0.188,2,0,47,0,0,0,89,92,10,0,78,-60.66,19,38.0,17.0,-999.0
0.251,2,0,47,0,0,0,89,92,10,0,78,-60.66,19,53.0,11.0,-1001.0
0.304,2,0,47,0,0,0,89,92,10,0,78,-60.66,19,43.0,14.0,-1000.0
0.366,2,0,47,0,0,0,89,92,10,0,78,-60.66,19,43.0,14.0,-1000.0
0.429,2,0,47,0,0,0,89,92,10,0,78,-60.66,19,43.0,14.0,-1000.0
0.492,2,0,48,0,0,0,90,92,10,0,78,-60.66,19,38.0,16.0,-998.0
0.554,2,0,48,0,0,0,90,92,10,0,78,-60.66,19,36.0,8.0,-999.0
0.618,2,0,48,0,0,0,90,92,10,0,78,-60.66,19,36.0,8.0,-999.0
0.680,0,0,48,0,0,0,90,92,10,0,78,-60.66,19,12.0,23.0,-980.0
0.743,0,-1,48,0,0,-2,90,92,10,0,78,-60.66,20,61.0,-13.0,-1017.0
0.794,0,-1,48,0,0,-2,90,92,10,0,78,-60.66,20,61.0,-13.0,-1017.0
0.857,0,-1,48,0,0,-2,90,92,10,0,78,-60.66,20,61.0,-13.0,-1017.0
0.919,0,2,48,0,0,-6,90,92,14,0,78,-60.52,20,25.0,-39.0,-1380.0
0.982,0,2,48,0,0,-6,90,92,14,0,78,-60.52,20,25.0,-39.0,-1380.0
1.045,0,2,48,0,0,-6,90,92,14,0,78,-60.52,20,25.0,-39.0,-1380.0
1.107,0,1,48,0,0,-7,90,92,30,20,78,-60.14,20,-33.0,-24.0,-1112.0
1.170,0,1,48,0,0,-7,90,92,30,20,78,-60.14,20,-33.0,-24.0,-1112.0
1.232,0,1,48,0,0,-7,90,92,30,20,78,-60.14,20,-33.0,-24.0,-1112.0
1.284,0,1,48,0,0,-7,90,92,30,20,78,-60.14,20,-33.0,-24.0,-1112.0
1.347,-1,2,48,0,0,-6,90,92,45,30,78,-59.92,20,-26.0,-30.0,-954.0
1.410,-1,2,48,0,0,-6,90,92,45,30,78,-59.92,20,-26.0,-30.0,-954.0
1.472,-1,2,48,0,0,-5,91,93,52,40,78,-59.92,20,-7.0,-31.0,-916.0
1.535,-1,2,48,0,0,-5,91,93,52,40,78,-59.92,20,-7.0,-31.0,-916.0
1.598,-1,2,48,0,0,-5,91,93,52,40,78,-59.92,20,-7.0,-31.0,-916.0
1.660,0,2,48,0,0,-4,91,93,62,50,78,-59.76,20,-28.0,-14.0,-893.0
1.723,0,2,48,0,0,-4,91,93,62,50,78,-59.76,20,-28.0,-14.0,-893.0
1.786,0,1,48,0,0,-3,91,93,66,50,78,-59.72,21,-8.0,-25.0,-915.0
1.855,-1,1,48,0,0,-2,91,93,70,50,78,-59.65,21,0.0,-24.0,-909.0
1.918,-1,1,48,0,0,-2,91,93,70,50,78,-59.65,21,0.0,-24.0,-909.0
1.981,-1,1,48,0,0,-2,91,93,70,50,78,-59.65,21,0.0,-24.0,-909.0
2.044,0,1,48,0,0,-1,91,93,75,60,78,-59.59,21,-5.0,-20.0,-970.0
2.106,0,1,48,0,0,-1,91,93,75,60,78,-59.59,21,-5.0,-20.0,-970.0
2.169,-1,1,48,0,0,-1,91,93,77,60,78,-59.62,21,-19.0,-19.0,-955.0
2.232,-1,1,48,0,0,0,91,93,79,60,78,-59.63,21,-34.0,-22.0,-967.0
2.295,-1,1,48,0,0,0,91,93,79,60,78,-59.63,21,-34.0,-22.0,-967.0
2.347,0,1,48,0,0,0,91,93,81,60,78,-59.62,21,9.0,-23.0,-977.0
2.410,0,1,48,0,0,0,91,93,81,60,78,-59.62,21,9.0,-23.0,-977.0
