time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,0,0,-7,0,0,0,80,82,80,70,69,-7.21,23,-9.0,-12.0,-1012.0
0.063,0,0,-7,0,0,0,80,82,80,70,69,-7.21,23,-9.0,-12.0,-1012.0
0.127,0,0,-7,0,0,0,80,82,80,70,69,-7.27,23,0.0,1.0,-996.0
0.191,0,0,-7,0,0,0,80,82,80,70,69,-7.27,23,0.0,1.0,-996.0
0.254,0,0,-7,0,0,0,80,82,80,70,69,-7.27,23,0.0,1.0,-996.0
0.317,0,0,-7,0,0,0,79,81,79,70,69,-7.2,23,6.0,-6.0,-998.0
0.381,0,0,-7,0,0,0,79,81,79,70,69,-7.2,23,6.0,-6.0,-998.0
0.445,0,0,-7,0,0,0,79,81,79,70,69,-7.2,23,6.0,-6.0,-998.0
0.509,0,0,-7,0,0,0,79,81,79,70,69,-7.21,23,14.0,-8.0,-1004.0
0.585,0,0,-7,0,0,0,79,81,79,70,69,-7.21,23,14.0,-8.0,-1004.0
0.651,0,0,-7,0,0,0,79,81,79,70,69,-7.21,23,14.0,-8.0,-1004.0
0.712,0,0,-7,0,0,0,79,81,79,70,69,-7.26,24,-3.0,9.0,-1005.0
0.774,0,0,-7,0,0,0,79,81,79,70,69,-7.26,24,-3.0,9.0,-1005.0
0.837,0,0,-7,0,0,0,79,81,79,70,69,-7.26,24,-3.0,9.0,-1005.0
0.901,0,0,-7,0,0,0,79,81,79,70,69,-7.22,24,-10.0,2.0,-1009.0
0.964,0,0,-7,0,0,0,79,81,79,70,69,-7.22,24,-10.0,2.0,-1009.0
1.028,0,0,-7,0,0,0,79,81,79,70,69,-7.22,24,-10.0,2.0,-1009.0
1.092,0,0,-7,0,0,0,79,81,79,70,69,-7.24,24,11.0,-17.0,-1008.0
1.154,0,0,-7,0,0,0,79,81,79,70,69,-7.21,24,-1.0,-9.0,-998.0
1.218,0,0,-7,0,0,0,79,81,79,70,69,-7.21,24,-1.0,-9.0,-998.0
1.282,0,0,-7,0,0,0,79,81,79,70,69,-7.21,24,-1.0,-9.0,-998.0
1.346,0,0,-7,0,0,0,80,81,79,70,69,-7.23,24,-11.0,-14.0,-1007.0
1.409,0,0,-7,0,0,0,80,81,79,70,69,-7.23,24,-11.0,-14.0,-1007.0
1.471,0,0,-7,0,0,0,80,81,79,70,69,-7.26,24,-15.0,0.0,-1000.0
1.535,0,0,-7,0,0,0,80,81,79,70,69,-7.22,24,0.0,-4.0,-1007.0
1.598,0,0,-7,0,0,0,80,81,79,70,69,-7.22,24,0.0,-4.0,-1007.0
1.665,0,0,-7,0,0,0,80,81,79,70,69,-7.22,24,0.0,-4.0,-1007.0
1.726,0,0,-7,0,0,0,80,81,79,70,69,-7.26,25,-19.0,0.0,-1003.0
1.788,0,0,-7,0,0,0,80,81,79,70,69,-7.26,25,-19.0,0.0,-1003.0
1.851,0,0,-7,0,0,0,80,81,79,70,69,-7.26,25,-19.0,0.0,-1003.0
1.915,0,0,-7,0,0,0,80,81,79,70,69,-7.3,25,-13.0,1.0,-1005.0
1.979,0,0,-7,0,0,0,80,81,79,70,69,-7.3,25,-13.0,1.0,-1005.0
2.042,0,0,-7,0,0,0,80,81,79,70,69,-7.3,25,-13.0,1.0,-1005.0
2.106,0,0,-7,0,0,0,80,81,79,70,69,-7.31,25,-18.0,0.0,-1000.0
2.169,0,0,-7,0,0,0,80,81,79,70,69,-7.28,25,0.0,-9.0,-1005.0
2.234,0,0,-7,0,0,0,80,81,79,70,69,-7.28,25,0.0,-9.0,-1005.0
2.297,0,0,-7,0,0,0,80,81,79,70,69,-7.28,25,0.0,-9.0,-1005.0
2.362,0,0,-7,0,0,0,80,82,79,70,69,-7.23,25,1.0,-7.0,-998.0
2.422,0,0,-7,0,0,0,80,82,79,70,69,-7.23,25,1.0,-7.0,-998.0
2.486,0,0,-7,0,0,0,80,82,79,70,69,-7.23,25,1.0,-7.0,-998.0
2.550,0,0,-7,0,0,0,80,82,79,70,69,-7.28,25,-6.0,-9.0,-994.0
2.614,0,0,-7,0,0,0,80,82,79,70,69,-7.28,25,-6.0,-9.0,-994.0
2.677,0,0,-7,0,0,0,80,82,79,70,69,-7.28,25,-6.0,-9.0,-994.0
2.738,0,0,-7,0,0,0,80,82,79,70,69,-7.26,26,-10.0,13.0,-1000.0
2.799,0,0,-7,0,0,0,80,82,79,70,69,-7.26,26,-10.0,13.0,-1000.0
2.862,0,0,-7,0,0,0,80,82,79,70,69,-7.26,26,-10.0,13.0,-1000.0
2.925,0,0,-7,0,0,0,80,82,79,70,69,-7.26,26,-10.0,13.0,-1000.0
2.989,0,0,-7,0,0,0,80,82,79,70,69,-7.3,26,-7.0,17.0,-996.0
3.053,0,0,-7,0,0,0,80,82,79,70,69,-7.3,26,-7.0,17.0,-996.0
3.116,0,0,-7,0,0,0,80,82,79,70,69,-7.3,26,-7.0,17.0,-996.0
3.179,0,0,-7,0,0,0,80,82,79,70,69,-7.26,26,3.0,19.0,-994.0
3.244,0,0,-7,0,0,0,80,82,79,70,69,-7.21,26,8.0,-7.0,-989.0
3.306,0,0,-7,0,0,0,80,82,79,70,69,-7.21,26,8.0,-7.0,-989.0
3.370,0,0,-7,0,0,0,79,82,79,70,69,-7.26,26,0.0,-2.0,-1007.0
3.433,0,0,-7,0,0,0,79,82,79,70,69,-7.26,26,0.0,-2.0,-1007.0
3.496,0,0,-7,0,0,0,79,82,79,70,69,-7.26,26,0.0,-2.0,-1007.0
3.560,0,0,-7,0,0,0,79,82,79,70,69,-7.23,26,-14.0,6.0,-998.0
3.623,0,0,-7,0,0,0,79,82,79,70,69,-7.22,27,-16.0,15.0,-1002.0
3.687,0,0,-7,0,0,0,79,82,79,70,69,-7.22,27,-16.0,15.0,-1002.0
3.751,0,0,-7,0,0,0,79,82,79,70,69,-7.3,27,-14.0,14.0,-998.0
3.813,0,0,-6,0,0,0,79,82,79,70,69,-7.24,27,-7.0,0.0,-990.0
3.876,0,0,-6,0,0,0,79,82,79,70,69,-7.24,27,-7.0,0.0,-990.0
3.939,0,0,-6,0,0,0,79,82,79,70,69,-7.24,27,-7.0,0.0,-990.0
4.004,0,0,-7,0,0,0,79,82,79,70,69,-7.26,27,0.0,-9.0,-1004.0
4.067,0,0,-7,0,0,0,79,82,79,70,69,-7.26,27,0.0,-9.0,-1004.0
4.131,0,0,-7,0,0,0,79,82,79,70,69,-7.21,27,-10.0,23.0,-1001.0
4.195,0,0,-7,0,0,0,79,82,79,70,69,-7.21,27,-10.0,23.0,-1001.0
4.259,0,0,-7,0,0,0,79,82,79,70,69,-7.3,27,0.0,9.0,-995.0
4.321,-1,0,-5,0,0,0,78,81,78,70,69,-7.22,27,-549.0,179.0,-1278.0
