time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,0,0,0,0,0,0,58,61,80,60,61,-63.58,5,0.0,-5.0,-1001.0
0.063,0,0,0,0,0,0,58,61,81,60,61,-63.56,5,-12.0,0.0,-1000.0
0.125,0,0,0,0,0,0,58,61,81,60,61,-63.56,5,-12.0,0.0,-1000.0
0.188,0,0,0,0,0,0,58,61,81,60,61,-63.64,5,-7.0,-8.0,-994.0
0.249,0,0,0,0,0,0,58,61,81,60,61,-63.57,6,-5.0,-11.0,-994.0
0.312,0,0,0,0,0,0,58,61,81,60,61,-63.57,6,-5.0,-11.0,-994.0
0.375,0,0,0,0,0,0,58,61,81,60,61,-63.63,6,-5.0,-8.0,-983.0
0.437,0,0,0,0,0,0,58,61,81,60,61,-63.57,6,-2.0,-3.0,-1005.0
0.499,0,0,0,0,0,0,58,61,81,60,61,-63.57,6,-2.0,-3.0,-1005.0
0.562,0,0,0,0,0,0,58,61,82,60,61,-63.52,6,0.0,-4.0,-999.0
0.624,0,0,0,0,0,0,58,61,82,60,61,-63.52,6,0.0,-4.0,-999.0
0.687,0,0,0,0,0,0,58,61,82,60,61,-63.62,6,-1.0,0.0,-1000.0
0.748,0,0,0,0,0,0,58,61,83,60,61,-63.58,6,-3.0,-9.0,-990.0
0.810,0,0,0,0,0,0,58,61,83,60,61,-63.58,6,-3.0,-9.0,-990.0
0.872,0,0,0,0,0,0,58,61,83,60,61,-63.56,6,-7.0,-10.0,-992.0
0.934,0,0,0,0,0,0,58,61,83,60,61,-63.56,6,-7.0,-10.0,-992.0
0.996,0,0,0,0,0,0,58,61,83,60,61,-63.55,6,-12.0,-8.0,-996.0
1.059,0,0,0,0,0,0,58,61,83,60,61,-63.59,6,-13.0,-11.0,-998.0
1.120,0,0,0,0,0,0,58,61,83,60,61,-63.59,6,-13.0,-11.0,-998.0
1.183,0,0,1,0,0,0,58,61,83,60,61,-63.56,6,9.0,-28.0,-999.0
1.245,0,0,1,0,0,0,58,61,83,60,61,-63.56,6,9.0,-28.0,-999.0
1.307,0,0,3,0,0,0,58,61,83,60,61,-63.46,7,-11.0,-12.0,-988.0
1.370,0,0,6,0,0,0,58,61,83,60,61,-63.52,7,2.0,-14.0,-997.0
1.432,0,0,6,0,0,0,58,61,83,60,61,-63.52,7,2.0,-14.0,-997.0
1.495,0,0,8,0,0,0,58,61,83,60,61,-63.56,7,-13.0,-15.0,-988.0
1.559,0,0,11,0,0,0,58,61,82,60,61,-63.61,7,-3.0,-6.0,-1002.0
1.620,0,0,11,0,0,0,58,61,82,60,61,-63.61,7,-3.0,-6.0,-1002.0
1.682,0,0,13,0,0,0,58,61,82,60,61,-63.63,7,-1.0,-4.0,-998.0
1.744,0,0,13,0,0,0,58,61,82,60,61,-63.63,7,-1.0,-4.0,-998.0
1.807,0,0,16,0,0,0,59,62,83,60,61,-63.58,7,-5.0,-2.0,-999.0
1.869,0,0,19,0,0,0,59,62,82,60,61,-63.57,7,-1.0,-11.0,-1003.0
1.931,0,0,19,0,0,0,59,62,82,60,61,-63.57,7,-1.0,-11.0,-1003.0
1.994,0,0,21,0,0,0,59,62,81,60,61,-63.58,7,-21.0,6.0,-1005.0
2.057,0,0,21,0,0,0,59,62,81,60,61,-63.58,7,-21.0,6.0,-1005.0
2.119,0,0,24,0,0,0,59,62,81,60,61,-63.64,7,2.0,-15.0,-993.0
2.181,0,0,27,0,0,0,59,62,82,60,61,-63.58,7,-6.0,-4.0,-1003.0
2.244,0,0,30,0,0,0,59,62,82,60,61,-63.62,8,2.0,-1.0,-1009.0
2.306,0,0,30,0,0,0,59,62,82,60,61,-63.62,8,2.0,-1.0,-1009.0
2.370,0,0,33,0,0,0,59,62,82,60,61,-63.61,8,2.0,-3.0,-1004.0
2.433,0,0,36,0,0,0,59,62,81,60,61,-63.61,8,0.0,-4.0,-1000.0
2.495,0,0,36,0,0,0,59,62,81,60,61,-63.61,8,0.0,-4.0,-1000.0
2.558,0,0,38,0,0,0,59,62,82,60,61,-63.63,8,-1.0,-1.0,-994.0
2.620,0,0,38,0,0,0,59,62,82,60,61,-63.63,8,-1.0,-1.0,-994.0
2.682,0,0,41,0,0,0,59,62,82,60,61,-63.67,8,-10.0,-2.0,-998.0
2.746,0,0,44,0,0,0,59,61,82,60,61,-63.57,8,-1.0,-5.0,-983.0
2.808,0,0,44,0,0,0,59,61,82,60,61,-63.57,8,-1.0,-5.0,-983.0
2.870,0,0,47,0,0,0,59,61,81,60,61,-63.57,8,-2.0,7.0,-1005.0
2.931,0,0,47,0,0,0,59,61,81,60,61,-63.57,8,-2.0,7.0,-1005.0
2.993,0,0,50,0,0,0,59,61,81,60,61,-63.63,8,-6.0,6.0,-1000.0
3.056,0,0,52,0,0,0,59,61,81,60,61,-63.62,8,-9.0,-5.0,-977.0
3.119,0,0,52,0,0,0,59,61,81,60,61,-63.62,8,-9.0,-5.0,-977.0
3.181,0,0,55,0,0,0,59,61,81,60,61,-63.61,8,-4.0,0.0,-991.0
3.242,0,0,58,0,0,0,59,61,81,60,61,-63.66,9,-8.0,-2.0,-1001.0
3.303,0,0,58,0,0,0,59,61,81,60,61,-63.66,9,-8.0,-2.0,-1001.0
3.366,0,0,60,0,0,0,59,61,81,60,61,-63.64,9,6.0,-18.0,-988.0
3.428,0,0,60,0,0,0,59,61,81,60,61,-63.64,9,6.0,-18.0,-988.0
3.491,0,0,63,0,0,0,59,61,81,60,61,-63.63,9,-12.0,-8.0,-1005.0
3.553,0,0,65,0,0,0,59,61,81,60,61,-63.62,9,-3.0,6.0,-1006.0
3.615,0,0,65,0,0,0,59,61,81,60,61,-63.62,9,-3.0,6.0,-1006.0
3.678,0,0,68,0,0,0,59,61,80,60,61,-63.59,9,7.0,1.0,-1014.0
3.741,0,0,68,0,0,0,59,61,80,60,61,-63.59,9,7.0,1.0,-1014.0
3.804,0,0,71,0,0,0,59,61,79,60,61,-63.56,9,-13.0,11.0,-1003.0
3.866,0,0,75,0,0,0,59,61,78,60,61,-63.49,9,5.0,8.0,-987.0
3.928,0,0,75,0,0,0,59,61,78,60,61,-63.49,9,5.0,8.0,-987.0
3.990,1,2,78,0,0,0,59,61,77,60,61,-63.56,9,-14.0,10.0,-1016.0
4.052,1,2,78,0,0,0,59,61,77,60,61,-63.56,9,-14.0,10.0,-1016.0
4.114,0,0,80,0,0,0,59,61,78,60,61,-63.57,9,-8.0,-18.0,-1027.0
4.176,0,0,82,0,0,0,59,61,78,60,61,-63.59,9,12.0,-15.0,-1016.0
4.239,0,0,82,0,0,0,59,61,78,60,61,-63.59,9,12.0,-15.0,-1016.0
4.302,0,0,85,0,0,0,59,61,79,60,61,-63.61,10,7.0,-14.0,-1013.0
4.364,0,0,88,0,0,0,59,61,80,60,61,-63.59,10,-3.0,-21.0,-1013.0
4.426,0,0,88,0,0,0,59,61,80,60,61,-63.59,10,-3.0,-21.0,-1013.0
4.488,0,0,91,0,0,0,59,61,81,60,61,-63.66,10,-9.0,-13.0,-1011.0
4.552,0,0,91,0,0,0,59,61,81,60,61,-63.66,10,-9.0,-13.0,-1011.0
4.615,0,0,94,0,0,0,59,61,82,60,61,-63.63,10,-6.0,-20.0,-1008.0
4.676,-7,-2,114,0,0,1,59,61,81,60,61,-63.55,10,-22.0,91.0,-622.0
4.737,-7,-2,114,0,0,1,59,61,81,60,61,-63.55,10,-22.0,91.0,-622.0
4.799,-25,-69,161,0,0,4,58,61,159,60,61,-63.6,10,-17.0,60.0,-652.0
4.863,-25,-69,161,0,0,4,58,61,159,60,61,-63.6,10,-17.0,60.0,-652.0
4.925,25,-152,-163,0,0,14,58,61,131,50,61,-63.65,10,-66.0,117.0,-469.0
4.987,46,49,95,0,0,25,58,61,69,40,61,-64.16,10,40.0,-75.0,-360.0
