time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,1,-1,0,0,0,0,52,55,82,70,100,-65.8,5,11.0,2.0,-995.0
0.061,1,-1,0,0,0,0,52,55,82,70,100,-65.8,5,11.0,2.0,-995.0
0.123,1,0,0,0,0,0,52,55,82,70,100,-65.76,6,14.0,11.0,-995.0
0.185,1,0,0,0,0,0,52,55,81,70,100,-65.75,6,9.0,2.0,-995.0
0.248,1,0,0,0,0,0,52,55,81,70,100,-65.75,6,9.0,2.0,-995.0
0.310,1,0,0,0,0,0,52,55,81,70,100,-65.75,6,14.0,1.0,-995.0
0.372,1,0,0,0,0,0,52,55,81,70,100,-65.75,6,14.0,1.0,-995.0
0.435,1,0,0,0,0,0,52,55,81,70,100,-65.8,6,22.0,0.0,-988.0
0.497,1,0,0,0,0,0,52,55,81,70,100,-65.79,6,21.0,3.0,-991.0
0.559,1,0,0,0,0,0,52,55,81,70,100,-65.79,6,21.0,3.0,-991.0
0.622,1,0,0,0,0,0,52,55,81,70,100,-65.71,6,11.0,13.0,-1015.0
0.684,1,0,0,0,0,0,52,55,81,70,100,-65.71,6,11.0,13.0,-1015.0
0.746,1,0,0,0,0,0,52,55,81,70,100,-65.78,6,9.0,2.0,-994.0
0.808,1,0,0,0,0,0,51,54,81,70,100,-65.82,6,17.0,-1.0,-1000.0
0.871,1,0,0,0,0,0,51,54,81,70,100,-65.82,6,17.0,-1.0,-1000.0
0.933,1,0,0,0,0,0,51,54,81,70,100,-65.78,6,10.0,1.0,-998.0
0.995,1,0,0,0,0,0,51,54,81,70,100,-65.71,6,15.0,-11.0,-985.0
1.057,1,0,0,0,0,0,51,54,81,70,100,-65.74,7,17.0,3.0,-1007.0
1.119,1,0,0,0,0,0,51,54,81,70,100,-65.74,7,17.0,3.0,-1007.0
1.183,1,-1,0,0,0,0,51,54,82,70,100,-65.8,7,14.0,-2.0,-999.0
1.246,1,-1,0,0,0,0,51,54,82,70,100,-65.8,7,14.0,-2.0,-999.0
1.308,1,-1,1,0,0,0,51,54,82,70,100,-65.77,7,14.0,0.0,-1005.0
1.370,0,0,3,0,0,0,51,54,81,70,100,-65.73,7,10.0,-1.0,-1000.0
1.432,0,0,3,0,0,0,51,54,81,70,100,-65.73,7,10.0,-1.0,-1000.0
1.495,0,0,6,0,0,0,51,54,82,70,100,-65.73,7,8.0,-4.0,-995.0
1.558,0,0,6,0,0,0,51,54,82,70,100,-65.73,7,8.0,-4.0,-995.0
1.620,0,0,9,0,0,0,51,54,82,70,100,-65.75,7,15.0,1.0,-994.0
1.683,0,0,12,0,0,0,51,54,82,70,100,-65.81,7,12.0,-2.0,-998.0
1.745,0,0,12,0,0,0,51,54,82,70,100,-65.81,7,12.0,-2.0,-998.0
1.806,0,0,15,0,0,0,53,54,82,70,100,-65.77,7,3.0,-7.0,-993.0
1.869,0,0,18,0,0,0,53,54,82,70,100,-65.73,7,6.0,1.0,-1002.0
1.930,0,0,18,0,0,0,53,54,82,70,100,-65.73,7,6.0,1.0,-1002.0
1.992,0,0,21,1,0,0,53,54,82,70,100,-65.75,7,5.0,4.0,-1004.0
2.054,0,0,21,1,0,0,53,54,82,70,100,-65.75,7,5.0,4.0,-1004.0
2.116,0,0,24,1,0,0,53,54,82,70,100,-65.76,8,3.0,-4.0,-990.0
2.178,0,0,27,1,0,0,53,54,82,70,100,-65.75,8,11.0,0.0,-1001.0
2.240,0,0,27,1,0,0,53,54,82,70,100,-65.75,8,11.0,0.0,-1001.0
2.302,0,0,30,1,0,0,53,54,81,70,100,-65.78,8,5.0,-4.0,-992.0
2.363,0,0,30,1,0,0,53,54,81,70,100,-65.78,8,5.0,-4.0,-992.0
2.425,0,0,33,1,0,0,53,54,82,70,100,-65.71,8,-1.0,-9.0,-990.0
