time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,0,0,-95,0,0,0,77,80,81,70,86,-66.08,60,8.0,-8.0,-978.0
0.063,0,0,-95,0,0,0,77,80,80,70,86,-66.13,60,17.0,5.0,-1001.0
0.126,0,0,-95,0,0,0,77,80,80,70,86,-66.13,60,17.0,5.0,-1001.0
0.189,0,0,-94,0,0,0,77,80,80,70,86,-66.01,61,12.0,-26.0,-982.0
0.251,0,0,-92,0,0,0,77,80,80,70,86,-66.12,61,29.0,-8.0,-1000.0
0.314,0,0,-92,0,0,0,77,80,80,70,86,-66.12,61,29.0,-8.0,-1000.0
0.375,0,0,-89,0,0,0,77,80,80,70,86,-66.08,61,-8.0,-4.0,-998.0
0.437,0,0,-89,0,0,0,77,80,80,70,86,-66.08,61,-8.0,-4.0,-998.0
0.499,0,0,-86,0,0,0,77,80,79,70,86,-66.1,61,0.0,-4.0,-1011.0
0.562,-1,0,-84,0,0,0,77,80,79,70,86,-66.03,61,19.0,-1.0,-1017.0
0.624,-1,0,-84,0,0,0,77,80,79,70,86,-66.03,61,19.0,-1.0,-1017.0
0.687,-1,0,-81,0,0,0,77,80,80,70,86,-66.05,61,-1.0,-14.0,-994.0
0.750,-1,0,-81,0,0,0,77,80,80,70,86,-66.05,61,-1.0,-14.0,-994.0
0.811,-1,0,-78,0,0,0,77,80,80,70,86,-66.1,61,-1.0,-1.0,-1007.0
0.873,-1,0,-76,0,0,0,77,80,81,70,86,-65.99,61,3.0,-13.0,-991.0
0.935,-1,0,-76,0,0,0,77,80,81,70,86,-65.99,61,3.0,-13.0,-991.0
0.998,-1,0,-73,0,-1,0,77,80,81,70,86,-66.03,61,-4.0,-9.0,-1000.0
1.060,-1,0,-71,0,-1,0,77,80,82,70,86,-66.1,61,11.0,-10.0,-1004.0
1.122,-1,0,-71,0,-1,0,77,80,82,70,86,-66.1,61,11.0,-10.0,-1004.0
