time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,-2,-1,-1,0,0,0,83,85,80,60,74,-60.94,19,-27.0,36.0,-1003.0
0.062,-1,-1,-1,0,0,0,83,85,80,60,74,-61.05,19,-10.0,23.0,-990.0
0.123,-1,-1,-1,0,0,0,83,85,80,60,74,-61.05,19,-10.0,23.0,-990.0
0.185,-1,0,-1,0,0,0,83,85,80,60,74,-61.04,20,-15.0,22.0,-976.0
0.248,-1,0,0,0,0,0,83,85,80,60,74,-61.03,20,-20.0,29.0,-979.0
0.313,0,-1,0,0,0,0,83,85,80,60,74,-61.0,20,-3.0,32.0,-974.0
0.374,0,-1,0,0,0,0,83,85,80,60,74,-61.0,20,-3.0,32.0,-974.0
0.437,0,-1,-1,0,0,0,83,85,80,60,74,-60.97,20,16.0,41.0,-971.0
0.499,0,-2,-1,0,0,0,83,85,79,50,74,-60.93,20,-2.0,19.0,-982.0
0.561,0,-2,-1,0,0,0,83,85,79,50,74,-60.93,20,-2.0,19.0,-982.0
0.624,0,-1,-1,0,0,0,83,85,79,50,74,-61.01,20,5.0,26.0,-981.0
0.686,0,-1,-1,0,0,0,83,85,79,50,74,-61.01,20,5.0,26.0,-981.0
0.747,0,-1,-1,0,0,0,83,85,78,50,74,-60.91,20,12.0,37.0,-998.0
0.810,0,-1,-1,0,0,0,83,85,78,50,74,-60.91,20,12.0,37.0,-998.0
0.873,0,-2,-1,0,0,0,83,85,77,50,74,-60.88,20,-18.0,36.0,-993.0
0.935,0,0,-1,0,0,0,83,85,77,50,74,-60.47,20,-7.0,24.0,-996.0
0.998,-4,0,1,0,0,0,83,85,76,50,74,-60.44,20,-40.0,12.0,-958.0
1.061,-4,0,1,0,0,0,83,85,76,50,74,-60.44,20,-40.0,12.0,-958.0
1.124,-4,0,1,0,0,0,83,85,76,50,74,-60.44,20,-40.0,12.0,-958.0
1.188,-3,-4,6,0,0,-1,83,85,78,50,74,-61.18,21,-139.0,41.0,-929.0
1.251,2,-3,4,1,0,0,83,85,78,50,74,-61.0,21,76.0,32.0,-1061.0
1.314,2,-3,4,1,0,0,83,85,78,50,74,-61.0,21,76.0,32.0,-1061.0
1.380,2,-1,0,0,0,0,83,85,78,50,74,-61.05,21,0.0,52.0,-1025.0
1.441,1,-2,-1,0,0,0,83,85,78,50,74,-60.89,21,-40.0,65.0,-960.0
1.504,1,-2,-1,0,0,0,83,85,78,50,74,-60.89,21,-40.0,65.0,-960.0
1.567,-3,-4,-1,-1,0,0,83,85,77,50,74,-60.59,21,-24.0,47.0,-867.0
1.629,-8,-5,1,-1,-1,0,83,85,78,50,74,-60.39,21,-83.0,31.0,-986.0
1.692,-8,-5,1,-1,-1,0,83,85,78,50,74,-60.39,21,-83.0,31.0,-986.0
1.756,-5,1,2,0,-3,0,83,85,77,50,74,-60.87,21,-153.0,-17.0,-1013.0
1.820,1,4,0,1,-2,0,82,85,76,50,74,-60.98,21,99.0,6.0,-950.0
1.884,1,4,0,1,-2,0,82,85,76,50,74,-60.98,21,99.0,6.0,-950.0
1.947,1,4,0,1,-2,0,82,85,76,50,74,-60.98,21,99.0,6.0,-950.0
2.009,5,1,-1,1,-1,0,82,85,74,50,74,-61.18,21,20.0,24.0,-1052.0
2.072,4,0,-1,1,0,0,82,85,74,50,74,-61.08,21,10.0,12.0,-1050.0
2.135,4,0,-1,1,0,0,82,85,74,50,74,-61.08,21,10.0,12.0,-1050.0
2.197,2,0,-1,0,0,0,82,85,74,50,74,-60.99,22,7.0,17.0,-1026.0
2.260,1,-1,-1,0,0,0,82,85,74,50,74,-61.01,22,27.0,20.0,-1015.0
2.322,1,-1,-1,0,0,0,82,85,74,50,74,-61.01,22,27.0,20.0,-1015.0
2.385,0,-1,-1,0,0,0,82,85,74,50,74,-60.97,22,2.0,20.0,-1006.0
2.447,0,-1,-1,0,-1,0,82,85,75,50,74,-60.9,22,17.0,5.0,-1005.0
2.509,0,-1,-1,0,-1,0,82,85,75,50,74,-60.9,22,17.0,5.0,-1005.0
2.571,0,-1,-1,0,-1,0,82,85,76,50,74,-60.98,22,5.0,13.0,-1000.0
2.634,0,0,-1,0,-1,0,82,85,77,50,74,-61.01,22,-7.0,10.0,-986.0
2.698,0,0,-1,0,-1,0,82,85,77,50,74,-61.01,22,-7.0,10.0,-986.0
2.759,0,0,-1,0,-1,0,82,85,77,50,74,-61.01,22,-7.0,10.0,-986.0
2.823,0,0,-1,0,-1,0,82,85,78,50,74,-60.99,22,-8.0,13.0,-973.0
2.884,0,-1,-1,0,-1,0,83,84,78,50,74,-60.92,22,-1.0,-2.0,-978.0
2.946,0,-1,-1,0,-1,0,83,84,78,50,74,-60.92,22,-1.0,-2.0,-978.0
3.008,0,0,-1,0,-1,0,83,84,79,50,74,-60.93,22,8.0,0.0,-972.0
3.070,0,0,-1,0,-1,0,83,84,79,60,74,-60.99,22,4.0,4.0,-986.0
3.133,0,0,-1,0,-1,0,83,84,79,60,74,-60.99,22,4.0,4.0,-986.0
3.195,0,0,-1,0,-1,0,83,84,79,60,74,-60.99,23,-8.0,14.0,-999.0
3.257,0,0,-1,0,-1,0,83,84,79,60,74,-60.98,23,3.0,11.0,-991.0
3.320,0,0,-1,0,-1,0,83,84,79,60,74,-60.98,23,3.0,11.0,-991.0
3.382,0,0,-1,0,-1,0,83,84,79,60,74,-60.98,23,3.0,11.0,-991.0
