time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,0,0,-2,0,0,0,84,88,78,60,70,-66.07,16,2.0,4.0,-1003.0
0.062,0,0,-2,0,0,0,84,88,77,60,70,-66.08,16,9.0,0.0,-1002.0
0.123,0,0,-2,0,0,0,84,88,79,60,70,-66.09,17,-3.0,7.0,-1005.0
0.185,0,0,-2,0,0,0,84,88,79,60,70,-66.09,17,-3.0,7.0,-1005.0
0.246,0,0,-2,0,0,0,84,88,78,60,70,-66.09,17,6.0,0.0,-997.0
0.309,0,0,-2,0,0,0,84,88,78,60,70,-66.09,17,6.0,0.0,-997.0
0.370,0,0,-2,0,0,0,84,88,78,60,70,-66.1,17,-7.0,10.0,-996.0
0.433,0,0,-2,0,0,0,84,88,79,60,70,-66.02,17,4.0,-3.0,-992.0
0.494,0,0,-2,0,0,0,84,88,79,60,70,-66.02,17,4.0,-3.0,-992.0
0.556,0,0,-2,0,0,0,84,88,78,60,70,-66.1,17,3.0,0.0,-997.0
0.619,0,0,-2,0,0,0,84,87,79,60,70,-66.11,17,-15.0,10.0,-995.0
0.683,0,0,-2,0,0,0,84,87,79,60,70,-66.11,17,-15.0,10.0,-995.0
0.746,0,0,-2,0,0,0,84,87,79,60,70,-66.04,17,-2.0,-13.0,-993.0
0.808,0,0,-2,0,0,0,84,87,79,60,70,-66.04,17,-2.0,-13.0,-993.0
0.870,0,0,-2,0,0,0,84,87,80,60,70,-66.11,17,-10.0,-2.0,-997.0
0.932,0,0,-2,1,0,0,84,87,79,60,70,-66.13,17,-6.0,-10.0,-998.0
0.994,0,0,-2,1,0,0,84,87,79,60,70,-66.13,17,-6.0,-10.0,-998.0
1.056,0,0,-2,1,0,0,84,87,79,60,70,-66.06,17,-9.0,3.0,-996.0
1.118,0,0,-2,1,0,0,84,87,79,60,70,-66.06,17,-9.0,3.0,-996.0
1.181,0,0,-2,1,0,0,84,87,79,60,70,-66.02,18,-9.0,10.0,-1000.0
1.244,0,0,-2,1,0,0,84,87,79,60,70,-66.14,18,0.0,5.0,-996.0
1.306,0,0,-2,1,0,0,84,87,79,60,70,-66.14,18,0.0,5.0,-996.0
1.367,0,0,-2,1,0,0,84,87,79,60,70,-66.04,18,0.0,-4.0,-999.0
1.430,0,0,-2,1,0,0,84,87,79,60,70,-66.04,18,0.0,-4.0,-999.0
1.491,0,0,-2,1,0,0,84,87,80,60,70,-66.0,18,-9.0,-7.0,-1000.0
1.553,0,0,-2,1,0,0,84,87,80,60,70,-66.01,18,-14.0,-3.0,-1004.0
1.615,0,0,-2,1,0,0,84,87,80,60,70,-66.01,18,-14.0,-3.0,-1004.0
1.678,0,0,-2,1,0,0,84,86,80,60,70,-66.1,18,-19.0,18.0,-1007.0
1.742,0,0,-2,1,0,0,84,86,79,60,70,-66.12,18,-4.0,-5.0,-996.0
1.804,0,0,-2,1,0,0,84,86,79,60,70,-66.12,18,-4.0,-5.0,-996.0
1.867,0,0,-2,1,0,0,84,86,80,60,70,-66.04,18,-2.0,-2.0,-1003.0
1.929,0,0,-2,1,0,0,84,86,80,60,70,-66.04,18,-2.0,-2.0,-1003.0
1.991,0,0,-2,1,0,0,84,86,80,60,70,-66.07,18,-13.0,6.0,-1000.0
2.053,0,0,-2,1,0,0,84,86,79,60,70,-66.09,19,-9.0,15.0,-1007.0
2.116,0,0,-2,1,0,0,84,86,79,60,70,-66.09,19,-9.0,15.0,-1007.0
2.179,0,0,-2,1,0,0,84,86,79,60,70,-66.05,19,5.0,4.0,-992.0
2.242,0,0,-2,1,0,0,84,86,79,60,70,-66.05,19,5.0,4.0,-992.0
2.304,0,0,-2,2,0,0,84,86,79,60,70,-66.08,19,-25.0,13.0,-1000.0
2.367,0,0,-2,2,0,0,84,86,79,60,70,-66.08,19,-25.0,13.0,-1000.0
2.429,0,0,-2,2,0,0,84,86,79,60,70,-66.05,19,-9.0,4.0,-998.0
2.491,0,0,-2,2,0,0,84,86,79,60,70,-66.05,19,-9.0,4.0,-998.0
2.552,0,0,-2,2,0,0,84,86,79,60,70,-66.06,19,-13.0,1.0,-995.0
2.615,0,0,-2,2,0,0,84,86,79,60,70,-66.09,19,-14.0,-1.0,-993.0
2.676,0,0,-2,2,0,0,84,86,79,60,70,-66.09,19,-14.0,-1.0,-993.0
2.738,0,0,-2,2,0,0,84,86,79,60,70,-66.08,19,-7.0,-8.0,-993.0
2.800,0,0,-2,2,0,0,84,86,79,60,70,-66.08,19,-7.0,-8.0,-993.0
2.862,0,0,-2,2,0,0,84,86,79,60,70,-66.07,19,-11.0,0.0,-1001.0
2.925,0,0,-2,2,0,0,84,86,79,60,70,-66.1,19,0.0,-6.0,-996.0
2.988,0,0,-2,2,0,0,84,86,79,60,70,-66.1,19,0.0,-6.0,-996.0
3.050,0,0,-2,2,0,0,84,86,78,60,70,-66.06,20,-22.0,17.0,-999.0
3.112,0,0,-2,2,0,0,84,86,78,60,70,-66.06,20,-22.0,17.0,-999.0
3.175,0,0,-2,1,0,0,84,86,79,60,70,-66.07,20,-20.0,10.0,-1003.0
3.237,0,0,-2,1,0,0,84,86,79,60,70,-66.09,20,-8.0,5.0,-998.0
3.299,0,0,-2,1,0,0,84,86,79,60,70,-66.09,20,-8.0,5.0,-998.0
3.362,0,0,-2,1,0,0,84,86,79,60,70,-66.13,20,-6.0,2.0,-996.0
3.424,0,0,-2,1,0,0,84,86,78,60,70,-66.06,20,2.0,-3.0,-991.0
3.486,0,0,-2,1,0,0,84,86,78,60,70,-66.06,20,2.0,-3.0,-991.0
3.548,0,0,-2,2,0,0,84,86,79,60,70,-66.06,20,-18.0,10.0,-1002.0
3.609,0,0,-2,2,0,0,84,86,79,60,70,-66.06,20,-18.0,10.0,-1002.0
3.672,0,0,-2,2,0,0,82,86,79,60,70,-66.1,20,-17.0,5.0,-1000.0
3.734,0,0,-2,2,0,0,82,86,79,60,70,-66.12,20,-15.0,13.0,-1000.0
3.795,0,0,-2,2,0,0,82,86,79,60,70,-66.12,20,-15.0,13.0,-1000.0
3.857,0,0,-2,2,0,0,82,86,79,60,70,-66.02,20,-17.0,5.0,-992.0
3.919,0,0,-2,2,0,0,82,86,79,60,70,-66.02,20,-17.0,5.0,-992.0
3.981,0,0,-3,2,0,0,82,86,79,60,70,-66.03,20,-24.0,12.0,-995.0
4.044,0,0,-3,2,0,0,82,86,78,60,70,-66.1,21,-22.0,-2.0,-1005.0
4.107,0,0,-3,2,0,0,82,86,78,60,70,-66.1,21,-22.0,-2.0,-1005.0
4.168,0,0,-3,2,0,0,82,86,78,60,70,-66.11,21,-20.0,19.0,-1000.0
4.230,0,0,-3,2,0,0,82,86,78,60,70,-66.11,21,-20.0,19.0,-1000.0
4.292,0,0,-3,2,0,0,82,86,79,60,70,-66.06,21,-26.0,9.0,-994.0
4.355,0,0,-3,2,0,0,82,86,78,60,70,-66.08,21,-20.0,15.0,-1002.0
4.417,0,0,-3,2,0,0,82,86,78,60,70,-66.08,21,-20.0,15.0,-1002.0
4.479,0,0,-2,2,0,0,82,86,78,60,70,-66.15,21,-4.0,0.0,-989.0
4.540,0,0,-2,2,0,0,82,86,78,60,70,-66.15,21,-4.0,0.0,-989.0
4.604,0,0,-2,1,0,0,82,86,79,60,70,-66.15,21,-28.0,21.0,-1003.0
4.665,0,0,-2,1,0,0,83,85,79,60,70,-66.07,21,-18.0,2.0,-1004.0
4.727,0,0,-2,1,0,0,83,85,79,60,70,-66.07,21,-18.0,2.0,-1004.0
4.789,0,0,-2,1,0,0,83,85,78,60,70,-66.11,21,-9.0,-17.0,-998.0
4.853,0,0,-2,1,0,0,83,85,79,60,70,-66.07,21,-18.0,7.0,-999.0
4.915,0,0,-2,1,0,0,83,85,79,60,70,-66.07,21,-18.0,7.0,-999.0
4.977,0,0,-2,1,0,0,83,85,78,60,70,-66.13,21,-5.0,0.0,-989.0
