time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,0,-2,91,0,0,0,71,73,10,0,80,27.19,80,10.0,48.0,-1000.0
0.063,0,-2,91,0,0,0,71,73,10,0,80,27.19,80,10.0,48.0,-1000.0
0.126,0,-2,91,0,0,0,71,73,10,0,80,27.23,80,8.0,48.0,-1001.0
0.189,0,-2,91,0,0,0,71,73,10,0,80,27.23,80,8.0,48.0,-1001.0
0.252,0,-2,91,0,0,0,71,73,10,0,80,27.2,80,7.0,49.0,-1001.0
0.314,0,-2,91,0,0,0,71,73,10,0,80,27.2,81,18.0,44.0,-1002.0
0.377,0,-2,91,0,0,0,71,73,10,0,80,27.2,81,18.0,44.0,-1002.0
0.428,0,-2,91,0,0,0,71,73,10,0,80,27.2,81,-4.0,51.0,-990.0
0.490,0,-2,92,0,0,0,71,73,10,0,80,27.2,81,9.0,63.0,-1020.0
0.554,0,-2,92,0,0,0,71,73,10,0,80,27.2,81,9.0,63.0,-1020.0
0.616,0,-2,92,0,0,0,71,73,10,0,80,27.2,81,9.0,63.0,-1020.0
0.682,0,-2,92,0,0,0,70,73,10,0,80,27.2,81,-19.0,-6.0,-1040.0
0.744,0,-1,92,0,0,0,70,73,10,0,80,27.2,81,-4.0,-17.0,-1170.0
0.807,0,-1,92,0,0,0,70,73,10,0,80,27.2,81,-4.0,-17.0,-1170.0
0.870,0,-1,92,0,0,0,70,73,10,0,80,27.2,81,-4.0,-17.0,-1170.0
0.932,0,2,92,1,0,-5,70,73,11,0,80,27.2,81,-78.0,17.0,-1182.0
0.984,0,2,92,1,0,-5,70,73,11,0,80,27.2,81,-78.0,17.0,-1182.0
1.047,0,3,92,0,0,-6,70,73,19,0,80,27.44,81,-86.0,0.0,-1163.0
1.109,0,3,92,0,0,-6,70,73,19,0,80,27.44,81,-86.0,0.0,-1163.0
1.172,0,2,92,0,-1,-8,70,73,28,10,80,27.66,81,-79.0,42.0,-1032.0
1.235,-4,2,92,0,-1,-8,70,73,34,20,80,27.69,81,-55.0,9.0,-953.0
1.297,-4,2,92,0,-1,-8,70,73,34,20,80,27.69,81,-55.0,9.0,-953.0
1.360,-5,0,92,0,-1,-7,70,73,42,20,80,27.72,82,-37.0,11.0,-932.0
1.423,-5,0,92,0,-1,-6,70,73,49,30,80,27.81,82,-31.0,21.0,-893.0
1.475,-4,-1,92,0,0,-5,70,73,56,40,80,27.79,82,-32.0,27.0,-924.0
1.538,-4,-1,92,0,0,-5,70,73,56,40,80,27.79,82,-32.0,27.0,-924.0
1.601,-4,-1,92,0,0,-5,70,73,56,40,80,27.79,82,-32.0,27.0,-924.0
1.664,-3,0,93,0,0,-4,71,74,61,40,80,27.89,82,-43.0,50.0,-911.0
1.726,-3,0,93,0,0,-4,71,74,61,40,80,27.89,82,-43.0,50.0,-911.0
1.789,-5,-4,92,-1,-1,-3,71,74,69,50,80,28.07,82,-61.0,32.0,-904.0
1.852,-5,-4,92,-1,-1,-3,71,74,69,50,80,28.07,82,-61.0,32.0,-904.0
1.914,-5,-2,93,0,0,-2,71,74,71,50,80,28.01,82,-71.0,65.0,-924.0
1.967,-5,-2,93,0,0,-2,71,74,71,50,80,28.01,82,-71.0,65.0,-924.0
2.030,-5,-2,93,-1,0,-1,71,74,73,50,80,28.03,82,-48.0,41.0,-932.0
2.092,-4,-3,93,0,0,-1,71,74,75,50,80,27.84,82,-46.0,20.0,-944.0
2.155,-4,-3,93,0,0,-1,71,74,75,50,80,27.84,82,-46.0,20.0,-944.0
2.218,-4,-4,92,0,0,0,71,74,76,60,80,27.98,82,-61.0,21.0,-975.0
2.281,-4,-3,93,0,0,0,71,74,77,60,80,28.19,83,4.0,37.0,-949.0
2.344,-4,-3,93,0,0,0,71,74,77,60,80,28.19,83,4.0,37.0,-949.0
2.406,-5,-1,92,0,0,0,71,74,78,60,80,28.15,83,-50.0,36.0,-1034.0
2.458,-5,-1,92,0,0,0,71,74,78,60,80,28.15,83,-50.0,36.0,-1034.0
2.521,-3,-2,92,0,0,0,71,74,79,60,80,28.17,83,-72.0,36.0,-1041.0
2.584,-4,-3,92,0,0,0,71,73,80,60,80,28.11,83,-46.0,55.0,-905.0
2.647,-4,-3,92,0,0,0,71,73,80,60,80,28.11,83,-46.0,55.0,-905.0
2.709,-5,-3,92,0,0,0,71,73,81,60,80,28.07,83,-49.0,39.0,-977.0
2.772,-5,-3,92,0,0,0,71,73,81,60,80,28.07,83,-49.0,39.0,-977.0
2.835,-4,-4,92,0,0,0,71,73,81,60,80,28.21,83,-93.0,29.0,-1017.0
2.898,-4,-1,92,0,0,0,71,73,82,60,80,28.2,83,-80.0,78.0,-988.0
2.964,-4,-1,92,0,0,0,71,73,82,60,80,28.2,83,-80.0,78.0,-988.0
3.027,-5,-1,92,0,0,0,71,73,82,60,80,28.23,83,-90.0,66.0,-1004.0
3.090,-5,-3,92,0,0,0,71,73,83,60,80,28.27,83,-88.0,74.0,-1007.0
3.153,-5,-3,92,0,0,0,71,73,83,60,80,28.27,83,-88.0,74.0,-1007.0
3.215,-5,-4,92,0,0,0,71,73,83,60,80,28.2,83,-79.0,57.0,-995.0
3.278,-5,-4,92,0,0,0,71,73,83,60,80,28.2,83,-79.0,57.0,-995.0
3.341,-5,-4,93,0,0,0,71,73,84,60,80,28.18,84,-111.0,43.0,-971.0
3.404,-5,-4,93,0,0,0,71,73,84,60,80,28.21,84,-79.0,37.0,-970.0
3.467,-5,-4,93,0,0,0,71,73,84,60,80,28.21,84,-79.0,37.0,-970.0
3.518,-6,-3,93,0,0,0,71,73,84,60,80,28.16,84,-104.0,48.0,-990.0
3.581,-6,-3,93,0,0,0,71,73,84,60,80,28.16,84,-104.0,48.0,-990.0
3.644,-6,-1,93,0,0,0,71,73,84,60,80,28.14,84,-101.0,71.0,-1023.0
3.707,-6,-1,93,0,0,0,71,73,84,60,80,28.14,84,-101.0,71.0,-1023.0
3.757,-6,-2,93,0,0,0,71,73,85,60,80,28.09,84,-94.0,39.0,-1023.0
3.820,-6,-3,93,0,0,0,71,73,85,70,80,28.11,84,-111.0,37.0,-971.0
3.882,-6,-3,93,0,0,0,71,73,85,70,80,28.11,84,-111.0,37.0,-971.0
3.946,-6,-2,93,0,0,0,71,73,85,70,80,28.04,84,-107.0,28.0,-1005.0
3.996,-6,-2,93,0,0,0,71,73,85,70,80,28.04,84,-107.0,28.0,-1005.0
4.059,-6,-2,92,0,0,0,71,73,86,70,80,28.07,84,-117.0,31.0,-992.0
4.122,-6,-1,92,0,0,0,71,73,86,70,80,28.05,84,-95.0,23.0,-989.0
4.185,-6,-1,92,0,0,0,71,73,86,70,80,28.05,84,-95.0,23.0,-989.0
4.247,-7,-1,92,0,0,0,71,73,87,70,80,27.9,85,-99.0,41.0,-998.0
4.310,-7,-1,92,0,0,0,71,73,87,70,80,27.9,85,-99.0,41.0,-998.0
4.373,-6,-1,92,0,0,0,71,73,88,70,80,28.04,85,-73.0,22.0,-1003.0
4.436,-6,-1,92,0,0,0,71,73,88,70,80,28.0,85,-94.0,19.0,-967.0
4.487,-6,-1,92,0,0,0,71,73,88,70,80,28.0,85,-94.0,19.0,-967.0
4.550,-6,0,92,0,0,0,71,73,89,70,80,28.03,85,-78.0,32.0,-969.0
4.613,-5,0,92,0,0,0,70,73,89,70,80,28.01,85,-104.0,43.0,-965.0
4.675,-5,0,92,0,0,0,70,73,89,70,80,28.01,85,-104.0,43.0,-965.0
4.738,-5,-1,92,0,0,0,70,73,89,70,80,27.96,85,-87.0,32.0,-969.0
4.801,-5,-1,92,0,0,0,70,73,89,70,80,27.96,85,-87.0,32.0,-969.0
4.864,-5,-1,92,0,0,0,70,73,89,70,80,28.04,85,-94.0,22.0,-989.0
4.926,-5,-1,92,0,0,0,70,73,89,70,80,28.04,85,-94.0,22.0,-989.0
4.989,-5,-1,93,0,0,0,70,73,89,70,80,28.01,85,-71.0,39.0,-994.0
5.041,-5,-1,93,0,0,0,70,73,88,70,80,27.98,85,-89.0,40.0,-991.0
5.104,-5,-2,93,0,0,0,70,73,88,70,80,27.91,85,-74.0,25.0,-1007.0
5.166,-5,-2,93,0,0,0,70,73,88,70,80,27.91,85,-74.0,25.0,-1007.0
5.229,-5,-2,93,0,0,0,70,73,88,70,80,27.91,85,-74.0,25.0,-1007.0
5.292,-5,-1,92,0,0,0,70,73,88,70,80,27.94,86,-99.0,19.0,-986.0
5.355,-5,-1,92,0,0,0,70,73,88,70,80,27.94,86,-99.0,19.0,-986.0
5.417,-6,-1,92,0,0,0,70,73,88,70,80,27.87,86,-89.0,17.0,-992.0
5.480,-5,-1,92,0,0,0,70,73,88,70,80,27.86,86,-88.0,21.0,-1028.0
5.531,-5,-1,92,0,0,0,70,73,88,70,80,27.86,86,-88.0,21.0,-1028.0
5.594,-5,-1,92,0,0,0,70,73,88,70,80,27.86,86,-88.0,21.0,-1028.0
5.657,-5,0,92,0,0,0,71,73,88,70,80,27.83,86,-84.0,30.0,-982.0
5.719,-4,0,92,0,0,0,71,73,88,70,80,27.86,86,-91.0,20.0,-1015.0
5.782,-4,0,92,0,0,0,71,73,88,70,80,27.86,86,-91.0,20.0,-1015.0
5.845,-4,0,92,0,0,0,71,73,88,70,80,27.86,86,-91.0,20.0,-1015.0
5.908,-4,-1,92,0,0,0,71,73,88,70,80,27.93,86,-73.0,-9.0,-981.0
5.971,-4,-1,92,0,0,0,71,73,88,70,80,27.93,86,-73.0,-9.0,-981.0
6.022,-4,-1,92,0,0,0,71,73,88,70,80,27.93,86,-73.0,-9.0,-981.0
6.085,-4,0,93,0,0,0,71,73,88,70,80,27.82,86,-80.0,-4.0,-1005.0
6.147,-5,0,93,0,0,0,71,73,89,70,80,27.92,86,-87.0,2.0,-1002.0
6.210,-5,0,93,0,0,0,71,73,89,70,80,27.92,86,-87.0,2.0,-1002.0
6.273,-4,0,93,0,1,0,71,73,89,70,80,27.9,87,-109.0,10.0,-991.0
6.335,-3,0,93,0,1,0,71,73,89,70,80,27.84,87,-36.0,15.0,-975.0
6.398,-3,0,93,0,1,0,71,73,89,70,80,27.84,87,-36.0,15.0,-975.0
6.461,-3,0,93,0,1,0,71,73,89,70,80,27.84,87,-36.0,15.0,-975.0
6.512,-3,-1,93,0,1,0,71,73,88,70,80,27.82,87,-69.0,27.0,-975.0
6.575,-3,-1,93,0,1,0,71,73,88,70,80,27.82,87,-69.0,27.0,-975.0
6.638,-3,-1,93,0,1,0,71,73,88,70,80,27.82,87,-69.0,27.0,-975.0
6.700,-2,-1,93,0,0,0,71,73,88,70,80,27.88,87,-44.0,-19.0,-1002.0
6.763,-3,0,92,0,0,0,71,73,88,70,80,27.79,87,-41.0,-13.0,-1013.0
6.826,-3,0,92,0,0,0,71,73,88,70,80,27.79,87,-41.0,-13.0,-1013.0
6.889,-2,0,92,0,1,0,71,73,88,70,80,27.83,87,-42.0,-30.0,-1011.0
6.952,-2,1,92,0,0,0,71,73,88,70,80,27.69,87,-41.0,-24.0,-1015.0
7.014,-2,1,92,0,0,0,71,73,88,70,80,27.69,87,-41.0,-24.0,-1015.0
7.066,-2,1,92,0,0,0,71,73,88,70,80,27.69,87,-41.0,-24.0,-1015.0
7.128,-3,1,92,0,0,0,71,73,88,70,80,27.8,87,-55.0,-32.0,-1010.0
7.192,-3,1,92,0,0,0,71,73,88,70,80,27.8,87,-55.0,-32.0,-1010.0
7.255,-3,1,92,0,0,0,71,73,88,70,80,27.8,87,-55.0,-32.0,-1010.0
7.318,-3,1,93,0,0,0,71,73,88,70,80,28.14,88,-21.0,-15.0,-963.0
7.380,-3,1,93,0,0,0,71,73,88,70,80,28.14,88,-21.0,-15.0,-963.0
7.443,-3,0,93,0,0,0,71,73,88,70,80,27.98,88,-57.0,-22.0,-950.0
7.506,-3,0,93,0,0,0,71,73,88,70,80,27.98,88,-57.0,-22.0,-950.0
7.558,-2,1,93,0,0,0,71,73,87,70,80,28.09,88,-9.0,-37.0,-993.0
7.620,-2,1,93,0,0,0,71,73,87,70,80,28.09,88,-9.0,-37.0,-993.0
7.684,-2,1,93,0,0,0,71,73,87,70,80,28.09,88,-9.0,-37.0,-993.0
7.747,4,4,93,0,-3,1,71,72,86,70,80,28.01,88,6.0,-5.0,-1179.0
7.809,4,4,93,0,-3,1,71,72,86,70,80,28.01,88,6.0,-5.0,-1179.0
7.872,4,4,93,0,-3,1,71,72,86,70,80,28.01,88,6.0,-5.0,-1179.0
7.935,-11,-2,92,-1,-1,0,71,72,87,70,80,28.18,88,101.0,-31.0,-997.0
7.997,-11,-2,92,-1,-1,0,71,72,87,70,80,28.18,88,101.0,-31.0,-997.0
8.050,-6,-3,92,0,0,0,71,72,86,70,80,28.26,88,49.0,-37.0,-1086.0
8.112,-6,-3,92,0,0,0,71,72,86,70,80,28.26,88,49.0,-37.0,-1086.0
8.175,-1,0,92,0,2,0,71,72,86,70,80,28.22,88,18.0,-13.0,-1067.0
8.238,-1,0,92,0,2,0,71,72,86,70,80,28.22,88,18.0,-13.0,-1067.0
8.301,-1,0,92,0,2,0,71,72,86,70,80,28.22,88,18.0,-13.0,-1067.0
8.364,1,0,92,0,2,0,71,72,89,70,80,28.24,89,10.0,-11.0,-983.0
8.426,1,0,92,0,2,0,71,72,89,70,80,28.24,89,10.0,-11.0,-983.0
8.490,1,0,92,0,2,0,71,72,89,70,80,28.24,89,10.0,-11.0,-983.0
8.540,6,-4,99,2,-2,0,71,72,92,70,80,28.02,89,44.0,-34.0,-1194.0
8.604,6,-4,99,2,-2,0,71,72,92,70,80,28.02,89,44.0,-34.0,-1194.0
8.666,6,-4,99,2,-2,0,71,72,92,70,80,28.02,89,44.0,-34.0,-1194.0
8.729,-2,3,97,1,-2,0,71,72,95,70,80,28.41,89,35.0,91.0,-885.0
8.792,-10,2,92,0,-1,0,71,72,96,70,80,28.66,89,61.0,17.0,-825.0
8.855,-10,2,92,0,-1,0,71,72,96,70,80,28.66,89,61.0,17.0,-825.0
8.917,-10,2,92,0,-1,0,71,72,96,70,80,28.66,89,61.0,17.0,-825.0
8.980,-5,0,92,0,0,1,71,72,92,70,80,28.54,89,14.0,78.0,-1014.0
9.043,-2,-4,92,0,1,1,71,72,91,70,80,28.33,89,-18.0,4.0,-1025.0
9.094,-2,-4,92,0,1,1,71,72,91,70,80,28.33,89,-18.0,4.0,-1025.0
9.157,0,-3,92,0,2,1,71,72,90,70,80,28.35,89,44.0,27.0,-1078.0
9.220,0,1,92,0,2,0,71,72,90,70,80,28.36,90,48.0,60.0,-941.0
9.282,0,1,92,0,2,0,71,72,90,70,80,28.36,90,48.0,60.0,-941.0
9.344,2,-1,91,0,2,0,71,72,88,70,80,28.52,90,35.0,-17.0,-1032.0
9.407,4,-4,90,0,2,0,71,72,89,70,80,28.3,90,58.0,-96.0,-1105.0
9.470,4,-4,90,0,2,0,71,72,89,70,80,28.3,90,58.0,-96.0,-1105.0
9.532,5,0,92,1,2,0,71,72,89,70,80,28.43,90,-10.0,-57.0,-1040.0
9.584,5,0,92,1,2,0,71,72,89,70,80,28.43,90,-10.0,-57.0,-1040.0
9.647,5,0,92,1,2,0,71,72,89,70,80,28.43,90,-10.0,-57.0,-1040.0
9.709,3,5,93,1,1,0,70,72,90,70,80,28.22,90,-20.0,-24.0,-986.0
9.772,1,6,93,1,0,0,70,72,90,70,80,28.45,90,-38.0,-10.0,-1017.0
9.835,1,6,93,1,0,0,70,72,90,70,80,28.45,90,-38.0,-10.0,-1017.0
9.898,0,3,93,0,0,0,70,72,89,70,80,28.3,90,-38.0,2.0,-1033.0
9.961,0,2,93,0,0,0,70,72,89,70,80,28.18,90,-60.0,6.0,-958.0
10.024,0,2,93,0,0,0,70,72,89,70,80,28.18,90,-60.0,6.0,-958.0
10.076,-2,0,93,-1,0,0,70,72,88,70,80,28.13,90,-86.0,40.0,-948.0
10.138,-2,-4,92,-1,-1,0,70,72,88,70,80,28.22,90,-69.0,-44.0,-1044.0
10.201,-2,-4,92,-1,-1,0,70,72,88,70,80,28.22,90,-69.0,-44.0,-1044.0
10.264,-3,-4,92,0,-1,0,70,72,87,70,80,28.06,91,-77.0,5.0,-956.0
10.326,-5,-2,92,0,-1,0,70,72,87,70,80,28.14,91,-68.0,4.0,-1006.0
10.389,-5,-2,92,0,-1,0,70,72,87,70,80,28.14,91,-68.0,4.0,-1006.0
10.452,-5,-2,92,0,-1,0,70,72,87,70,80,28.14,91,-68.0,4.0,-1006.0
10.514,-5,-2,92,0,-1,0,70,72,86,70,80,28.14,91,-68.0,-3.0,-1005.0
10.565,-5,-1,92,0,-1,0,70,72,86,70,80,28.0,91,-47.0,-25.0,-965.0
10.628,-5,-1,92,0,-1,0,70,72,86,70,80,28.0,91,-47.0,-25.0,-965.0
10.691,-4,0,92,0,0,0,70,73,85,70,80,28.14,91,-88.0,-7.0,-993.0
10.753,-4,0,92,0,-1,0,70,73,85,70,80,28.14,91,-76.0,-16.0,-1053.0
10.805,-4,0,92,0,-1,0,70,73,85,70,80,28.14,91,-76.0,-16.0,-1053.0
10.868,-4,0,92,0,-1,0,70,73,85,70,80,28.14,91,-76.0,-16.0,-1053.0
10.930,-5,0,92,0,-1,0,70,73,85,70,80,28.08,91,-68.0,-11.0,-995.0
10.994,-5,0,92,0,0,0,70,73,85,70,80,28.02,91,-94.0,-8.0,-979.0
11.057,-5,0,93,0,0,0,70,73,84,70,80,28.0,91,-73.0,-12.0,-985.0
11.108,-5,0,93,0,0,0,70,73,84,70,80,28.0,91,-73.0,-12.0,-985.0
11.171,-4,0,93,0,0,0,70,73,84,70,80,28.11,91,-45.0,10.0,-994.0
11.234,-4,0,93,0,0,0,70,73,84,70,80,28.11,91,-45.0,10.0,-994.0
11.297,-4,0,93,0,0,0,70,73,83,70,80,28.02,92,-48.0,10.0,-1000.0
11.360,-4,0,93,0,0,0,70,73,83,70,80,28.02,92,-48.0,10.0,-1000.0
11.422,-4,0,93,0,0,0,70,73,83,70,80,28.07,92,-47.0,30.0,-993.0
11.485,-3,0,93,0,0,0,70,73,82,70,80,27.92,92,-74.0,38.0,-1001.0
11.548,-3,0,93,0,0,0,70,73,82,70,80,27.92,92,-74.0,38.0,-1001.0
11.599,-3,-1,93,0,0,0,70,73,82,60,80,27.96,92,-32.0,21.0,-1030.0
11.662,-3,-1,92,0,0,0,71,72,82,60,80,27.9,92,-46.0,35.0,-1002.0
11.724,-3,-1,92,0,0,0,71,72,82,60,80,27.9,92,-46.0,35.0,-1002.0
11.787,-3,-1,92,0,0,0,71,72,82,60,80,27.9,92,-46.0,35.0,-1002.0
11.849,-3,-1,92,0,0,0,71,72,81,60,80,27.93,92,-61.0,13.0,-976.0
11.912,-2,-2,92,0,0,0,71,72,81,60,80,27.92,92,-61.0,16.0,-978.0
11.975,-2,-2,92,0,0,0,71,72,81,60,80,27.92,92,-61.0,16.0,-978.0
12.037,-2,-2,92,0,0,0,71,72,81,60,80,27.98,92,-52.0,5.0,-1001.0
12.088,-2,-1,92,0,0,0,71,72,81,60,80,27.99,92,-48.0,38.0,-1032.0
12.151,-2,-1,92,0,0,0,71,72,81,60,80,27.99,92,-48.0,38.0,-1032.0
