time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.000,0,4,4,0,0,0,73,75,10,0,56,24.94,60,12.0,-83.0,-997.0
0.062,0,4,4,0,0,0,72,74,10,0,56,24.99,60,11.0,-82.0,-996.0
0.124,0,4,4,0,0,0,72,74,10,0,56,24.99,60,11.0,-82.0,-996.0
0.187,0,4,4,0,0,0,72,74,10,0,56,24.96,60,11.0,-83.0,-996.0
0.249,0,4,4,0,0,0,72,74,10,0,56,24.96,60,20.0,-85.0,-992.0
0.310,0,4,4,0,0,0,72,74,10,0,56,24.96,60,20.0,-85.0,-992.0
0.370,0,4,4,0,0,0,72,74,10,0,56,24.96,60,19.0,-80.0,-996.0
0.433,0,4,4,0,0,0,72,74,10,0,56,24.96,60,19.0,-80.0,-996.0
0.497,0,4,4,0,0,0,72,74,10,0,56,24.96,60,13.0,-76.0,-1001.0
0.557,0,4,4,0,0,0,72,74,10,0,56,24.96,60,31.0,-81.0,-991.0
0.619,0,4,4,0,0,0,72,74,10,0,56,24.96,60,31.0,-81.0,-991.0
0.681,0,2,4,0,0,0,72,74,10,0,56,24.96,60,14.0,-30.0,-1020.0
0.743,-2,0,4,0,0,-1,72,74,10,0,56,24.96,60,11.0,-6.0,-1168.0
0.807,-2,0,4,0,0,-1,72,74,10,0,56,24.96,60,11.0,-6.0,-1168.0
0.869,0,-1,4,0,0,-3,72,74,10,0,56,24.96,61,39.0,-14.0,-1307.0
0.931,0,0,4,0,0,-5,72,74,10,0,56,24.96,61,31.0,-44.0,-1177.0
0.993,0,0,4,0,0,-5,72,74,10,0,56,24.96,61,31.0,-44.0,-1177.0
1.056,0,0,4,0,0,-5,72,74,10,0,56,24.96,61,31.0,-44.0,-1177.0
1.119,1,0,4,0,0,-6,72,74,14,0,56,25.22,61,19.0,2.0,-1115.0
1.181,1,1,4,0,0,-6,72,74,22,0,56,25.35,61,57.0,-3.0,-1055.0
1.243,1,1,4,0,0,-6,72,74,22,0,56,25.35,61,57.0,-3.0,-1055.0
1.306,2,0,4,0,0,-6,72,74,30,10,56,25.35,61,21.0,26.0,-1014.0
1.368,2,0,4,0,0,-6,72,74,37,10,56,25.38,61,45.0,4.0,-987.0
1.430,2,0,4,0,0,-6,72,74,46,20,56,25.54,61,19.0,15.0,-949.0
1.492,2,0,4,0,0,-6,72,74,46,20,56,25.54,61,19.0,15.0,-949.0
1.554,2,0,4,0,0,-6,72,74,46,20,56,25.54,61,19.0,15.0,-949.0
1.616,4,-1,4,0,0,-4,72,74,61,30,56,25.64,61,58.0,2.0,-905.0
1.678,4,-1,4,0,0,-4,72,74,61,30,56,25.64,61,58.0,2.0,-905.0
1.741,4,-1,4,0,0,-4,72,74,61,30,56,25.64,61,58.0,2.0,-905.0
1.804,5,0,3,1,0,-2,72,74,74,40,56,25.74,62,78.0,-3.0,-918.0
1.866,5,0,3,1,0,-2,72,74,74,40,56,25.74,62,78.0,-3.0,-918.0
1.930,5,0,3,1,0,-2,72,74,74,40,56,25.74,62,78.0,-3.0,-918.0
1.992,5,0,4,1,0,-2,72,74,79,40,56,25.83,62,80.0,-10.0,-927.0
2.054,6,0,4,1,0,-1,72,75,83,40,56,25.86,62,76.0,-10.0,-919.0
2.116,6,0,4,1,0,-1,72,75,83,40,56,25.86,62,76.0,-10.0,-919.0
2.178,6,0,4,1,0,-1,72,75,83,40,56,25.86,62,76.0,-10.0,-919.0
2.240,5,0,4,0,0,0,72,75,90,50,56,25.86,62,73.0,-9.0,-914.0
2.304,5,0,4,0,0,0,72,75,90,50,56,25.86,62,73.0,-9.0,-914.0
2.366,5,0,4,0,0,0,72,75,92,50,56,25.82,62,66.0,-6.0,-938.0
2.428,5,0,4,0,0,0,72,75,94,50,56,25.85,62,89.0,-10.0,-940.0
2.492,5,0,4,0,0,0,72,75,94,50,56,25.85,62,89.0,-10.0,-940.0
2.554,5,0,4,0,0,0,72,75,94,50,56,25.85,62,89.0,-10.0,-940.0
2.615,6,0,3,0,0,0,72,75,96,50,56,25.9,62,113.0,-18.0,-969.0
2.676,6,0,3,0,0,0,72,75,96,50,56,25.9,62,113.0,-18.0,-969.0
2.738,6,0,3,0,0,0,72,75,96,50,56,25.9,62,113.0,-18.0,-969.0
2.800,6,0,3,0,0,0,72,75,96,50,56,25.9,62,113.0,-18.0,-969.0
2.864,6,0,3,0,0,0,72,75,97,60,56,25.9,63,80.0,0.0,-981.0
2.927,5,1,3,0,0,0,72,75,97,60,56,25.85,63,82.0,-5.0,-957.0
2.989,5,1,3,0,0,0,72,75,97,60,56,25.85,63,82.0,-5.0,-957.0
3.050,5,1,3,0,0,0,72,75,97,60,56,25.85,63,82.0,-5.0,-957.0
3.113,4,1,3,0,0,1,72,75,96,60,56,25.87,63,83.0,-15.0,-953.0
3.175,4,0,3,0,0,1,72,75,95,60,56,25.74,63,95.0,-17.0,-968.0
3.237,4,0,3,0,0,1,72,75,95,60,56,25.74,63,95.0,-17.0,-968.0
3.300,4,0,3,0,0,1,72,75,95,60,56,25.74,63,95.0,-17.0,-968.0
3.363,3,1,4,0,0,1,72,75,92,60,56,25.81,63,101.0,-10.0,-1021.0
3.425,3,1,4,0,0,1,72,75,92,60,56,25.81,63,101.0,-10.0,-1021.0
3.489,3,1,4,0,0,1,72,75,92,60,56,25.81,63,101.0,-10.0,-1021.0
3.551,3,0,4,0,0,1,72,75,89,50,56,25.76,63,55.0,-12.0,-1005.0
3.614,3,0,4,0,0,1,72,75,89,50,56,25.76,63,55.0,-12.0,-1005.0
3.676,3,0,4,0,0,1,72,75,89,50,56,25.76,63,55.0,-12.0,-1005.0
3.738,3,1,3,0,0,0,72,75,86,50,56,25.8,63,70.0,-9.0,-1008.0
3.801,3,1,3,0,0,0,72,75,86,50,56,25.8,63,70.0,-9.0,-1008.0
3.861,2,1,3,0,0,0,72,75,86,50,56,25.61,64,64.0,15.0,-1010.0
3.925,2,1,3,0,0,0,72,75,86,50,56,25.61,64,64.0,15.0,-1010.0
3.985,3,0,3,0,0,0,72,75,85,50,56,25.69,64,90.0,14.0,-1034.0
4.049,3,0,3,0,0,0,73,75,84,50,56,25.7,64,55.0,0.0,-982.0
4.113,3,0,3,0,0,0,73,75,84,50,56,25.7,64,55.0,0.0,-982.0
4.176,3,0,3,0,0,0,73,75,84,50,56,25.64,64,93.0,-6.0,-1017.0
4.239,3,0,3,0,0,0,73,75,84,50,56,25.64,64,93.0,-6.0,-1017.0
4.301,3,0,3,0,0,0,73,75,84,50,56,25.64,64,93.0,-6.0,-1017.0
4.364,4,0,4,0,0,0,73,75,82,50,56,25.73,64,90.0,-23.0,-981.0
4.426,4,0,4,0,0,0,73,75,82,50,56,25.73,64,90.0,-23.0,-981.0
4.488,4,0,4,0,0,0,73,75,82,50,56,25.73,64,90.0,-23.0,-981.0
4.551,4,2,3,0,0,0,73,75,80,50,56,25.71,64,110.0,-21.0,-964.0
4.613,4,2,3,0,0,0,73,75,80,50,56,25.71,64,110.0,-21.0,-964.0
4.675,5,1,3,0,0,0,73,75,80,50,56,25.66,64,87.0,-26.0,-1023.0
4.738,5,1,3,0,0,0,73,75,80,50,56,25.66,64,87.0,-26.0,-1023.0
4.800,5,2,3,0,0,0,73,75,79,50,56,25.77,64,96.0,-28.0,-1012.0
4.863,5,3,4,0,0,0,73,75,78,50,56,25.77,65,100.0,-22.0,-982.0
4.925,5,3,4,0,0,0,73,75,78,50,56,25.77,65,100.0,-22.0,-982.0
4.987,6,2,3,0,0,0,73,75,78,50,56,26.02,65,91.0,-5.0,-986.0
5.048,6,2,3,0,0,0,73,75,78,50,56,26.02,65,91.0,-5.0,-986.0
5.111,6,2,3,0,0,0,73,75,78,50,56,26.02,65,91.0,-5.0,-986.0
5.173,5,3,3,0,0,0,72,75,77,40,56,25.74,65,145.0,4.0,-967.0
5.234,5,3,3,0,0,0,72,75,77,40,56,25.74,65,145.0,4.0,-967.0
5.298,5,0,3,0,0,0,72,75,77,40,56,25.5,65,116.0,-17.0,-1040.0
5.361,6,0,3,0,0,0,72,75,78,40,56,25.58,65,93.0,-26.0,-976.0
5.423,6,0,3,0,0,0,72,75,78,40,56,25.58,65,93.0,-26.0,-976.0
5.486,6,0,4,0,0,0,72,75,77,40,56,25.68,65,99.0,-34.0,-1001.0
5.549,6,2,4,0,0,0,72,75,77,40,56,25.73,65,117.0,-40.0,-1004.0
5.611,6,2,4,0,0,0,72,75,77,40,56,25.73,65,117.0,-40.0,-1004.0
5.673,5,3,4,0,0,0,72,75,77,40,56,25.77,65,105.0,-33.0,-943.0
5.736,6,1,4,0,0,0,72,75,77,40,56,25.75,65,125.0,-54.0,-957.0
5.798,6,1,4,0,0,0,72,75,77,40,56,25.75,65,125.0,-54.0,-957.0
5.860,6,1,4,0,0,0,72,75,77,40,56,25.72,66,103.0,-46.0,-990.0
5.922,6,1,4,0,0,0,72,75,77,40,56,25.72,66,103.0,-46.0,-990.0
5.984,6,2,4,0,0,0,72,75,77,40,56,25.79,66,85.0,-58.0,-1009.0
6.051,6,3,4,0,0,0,73,75,76,40,56,25.86,66,89.0,-61.0,-1013.0
6.109,6,3,4,0,0,0,73,75,76,40,56,25.86,66,89.0,-61.0,-1013.0
6.170,6,3,4,0,0,0,73,75,76,40,56,25.86,66,89.0,-61.0,-1013.0
6.234,4,3,3,0,0,0,73,75,76,40,56,25.75,66,87.0,-31.0,-1009.0
6.298,4,3,3,0,0,0,73,75,76,40,56,25.75,66,87.0,-31.0,-1009.0
6.360,3,4,3,0,0,0,73,75,77,40,56,25.75,66,66.0,-26.0,-999.0
6.422,3,4,3,0,0,0,73,75,77,40,56,25.75,66,66.0,-26.0,-999.0
6.485,3,4,3,0,0,0,73,75,77,40,56,25.75,66,66.0,-26.0,-999.0
6.548,2,1,3,-1,0,0,73,75,77,40,56,25.7,66,79.0,-16.0,-1001.0
6.610,2,1,3,-1,0,0,73,75,77,40,56,25.7,66,79.0,-16.0,-1001.0
6.673,2,1,3,-1,0,0,73,75,77,40,56,25.7,66,79.0,-16.0,-1001.0
6.736,2,1,3,0,0,0,73,75,77,40,56,25.7,66,80.0,-9.0,-965.0
6.798,2,0,3,0,0,0,73,75,78,40,56,25.74,66,83.0,0.0,-991.0
6.861,2,0,3,0,0,0,73,75,78,40,56,25.74,66,83.0,0.0,-991.0
6.922,3,0,3,0,0,0,73,75,78,40,56,25.76,67,89.0,-5.0,-996.0
6.985,4,0,3,0,0,0,73,75,79,40,56,25.67,67,78.0,9.0,-1031.0
7.048,4,0,3,0,0,0,73,75,79,40,56,25.67,67,78.0,9.0,-1031.0
7.110,4,0,3,0,0,0,73,75,79,40,56,25.64,67,107.0,-3.0,-1017.0
7.172,5,0,4,0,0,0,73,75,80,50,56,25.72,67,129.0,-37.0,-1033.0
7.234,5,0,4,0,0,0,73,75,80,50,56,25.72,67,129.0,-37.0,-1033.0
7.298,5,0,4,0,0,0,73,75,80,50,56,25.72,67,129.0,-37.0,-1033.0
7.360,6,1,4,0,0,0,73,75,81,50,56,25.73,67,85.0,-22.0,-999.0
7.424,6,1,4,0,0,0,73,75,81,50,56,25.73,67,85.0,-22.0,-999.0
7.488,6,1,4,0,0,0,73,75,81,50,56,25.73,67,85.0,-22.0,-999.0
7.551,5,1,4,0,0,0,73,75,81,50,56,25.76,67,70.0,-20.0,-989.0
7.613,5,1,4,0,0,0,73,75,81,50,56,25.67,67,79.0,-7.0,-995.0
7.675,5,1,4,0,0,0,73,75,81,50,56,25.67,67,79.0,-7.0,-995.0
7.737,4,1,4,0,0,0,73,75,82,50,56,25.74,67,97.0,-15.0,-988.0
7.800,4,0,4,0,0,0,73,75,82,50,56,25.67,67,82.0,-29.0,-953.0
7.862,4,0,4,0,0,0,73,75,82,50,56,25.67,67,82.0,-29.0,-953.0
7.925,4,1,4,0,0,0,73,75,82,50,56,25.68,68,86.0,0.0,-988.0
7.986,4,1,4,0,0,0,73,75,82,50,56,25.65,68,110.0,-1.0,-989.0
8.048,4,1,4,0,0,0,73,75,82,50,56,25.65,68,110.0,-1.0,-989.0
8.112,4,1,4,0,0,0,73,75,82,50,56,25.65,68,110.0,-1.0,-989.0
8.174,5,0,4,0,0,0,73,75,82,50,56,25.68,68,115.0,0.0,-1014.0
8.235,5,0,4,0,0,0,73,75,82,50,56,25.68,68,115.0,0.0,-1014.0
8.296,5,0,4,0,0,0,73,75,82,50,56,25.68,68,115.0,0.0,-1014.0
8.359,6,0,4,0,0,0,73,75,82,50,56,25.67,68,147.0,-17.0,-1001.0
8.420,6,0,4,0,0,0,73,75,82,50,56,25.61,68,121.0,-21.0,-989.0
8.482,6,0,4,0,0,0,73,75,82,50,56,25.61,68,121.0,-21.0,-989.0
8.546,6,0,4,0,0,0,73,75,82,50,56,25.59,68,144.0,-32.0,-1005.0
8.609,6,0,4,0,0,0,73,75,82,50,56,25.71,68,99.0,-13.0,-995.0
8.672,6,0,4,0,0,0,73,75,82,50,56,25.71,68,99.0,-13.0,-995.0
8.734,6,0,4,0,0,0,73,75,82,50,56,25.71,68,99.0,-13.0,-995.0
8.794,6,0,4,0,0,0,73,75,82,50,56,25.66,68,89.0,-22.0,-976.0
8.858,6,0,4,0,0,0,73,75,82,50,56,25.66,68,89.0,-22.0,-976.0
8.922,6,0,4,0,0,0,73,75,82,50,56,25.66,68,89.0,-22.0,-976.0
8.985,5,1,4,0,0,0,73,75,82,50,56,25.61,69,78.0,-23.0,-984.0
9.048,5,1,4,0,0,0,73,75,82,50,56,25.61,69,78.0,-23.0,-984.0
9.110,5,1,4,0,0,0,73,75,82,50,56,25.61,69,78.0,-23.0,-984.0
9.174,5,1,4,0,0,0,73,75,82,50,56,25.57,69,93.0,-10.0,-1032.0
9.235,5,1,4,0,0,0,73,75,83,50,56,25.46,69,120.0,-32.0,-976.0
9.298,5,1,4,0,0,0,73,75,83,50,56,25.46,69,120.0,-32.0,-976.0
9.360,5,1,4,0,0,0,73,75,83,50,56,25.46,69,93.0,-19.0,-1022.0
9.424,5,1,4,0,0,0,73,75,82,50,56,25.55,69,116.0,-1.0,-981.0
9.486,5,1,4,0,0,0,73,75,83,50,56,25.55,69,134.0,-29.0,-984.0
9.548,5,1,4,0,0,0,73,75,83,50,56,25.55,69,134.0,-29.0,-984.0
9.611,5,1,4,1,0,0,73,75,83,50,56,25.45,69,107.0,-18.0,-997.0
9.674,5,1,4,1,0,0,73,75,83,50,56,25.35,69,125.0,-32.0,-976.0
9.740,5,1,4,1,0,0,73,75,83,50,56,25.35,69,125.0,-32.0,-976.0
9.801,5,0,4,1,0,0,73,75,83,50,56,24.65,69,102.0,-25.0,-960.0
9.863,6,1,4,1,0,0,73,75,82,50,56,26.74,70,150.0,-40.0,-1020.0
9.925,6,1,4,1,0,0,73,75,82,50,56,26.74,70,150.0,-40.0,-1020.0
9.988,-1,4,3,0,-1,1,73,75,80,50,56,25.75,70,43.0,-41.0,-913.0
10.051,-1,4,3,0,-1,1,73,75,80,50,56,25.75,70,43.0,-41.0,-913.0
10.113,5,0,3,0,-1,1,71,75,78,50,56,26.05,70,86.0,-52.0,-1067.0
10.176,3,1,5,0,-2,0,71,75,77,40,56,26.41,70,64.0,-54.0,-1025.0
10.238,3,1,5,0,-2,0,71,75,77,40,56,26.41,70,64.0,-54.0,-1025.0
10.299,4,2,5,0,-2,1,71,75,76,40,56,26.33,70,-100.0,-131.0,-979.0
10.361,2,3,5,0,-3,0,71,75,76,40,56,25.95,70,5.0,10.0,-1115.0
10.423,2,3,5,0,-3,0,71,75,76,40,56,25.95,70,5.0,10.0,-1115.0
10.485,2,3,5,0,-3,0,71,75,76,40,56,25.95,70,5.0,10.0,-1115.0
10.547,0,15,8,-1,-2,0,71,75,77,40,56,25.48,70,179.0,39.0,-1128.0
10.609,-1,9,5,0,0,0,71,75,75,40,56,25.54,70,138.0,-63.0,-1011.0
10.670,-1,9,5,0,0,0,71,75,75,40,56,25.54,70,138.0,-63.0,-1011.0
10.733,5,0,3,1,0,0,71,75,76,40,56,25.52,70,109.0,-54.0,-1105.0
10.796,6,1,3,0,0,-1,71,75,77,40,56,25.3,70,85.0,-27.0,-1041.0
10.859,6,1,3,0,0,-1,71,75,77,40,56,25.3,70,85.0,-27.0,-1041.0
10.921,5,2,3,0,0,-1,71,75,79,40,56,25.65,71,76.0,-26.0,-983.0
10.984,5,2,3,0,0,-1,71,75,81,40,56,25.58,71,59.0,2.0,-930.0
11.045,5,2,3,0,0,-1,71,75,81,40,56,25.58,71,59.0,2.0,-930.0
11.108,5,2,3,0,0,0,73,75,82,50,56,26.64,71,35.0,-46.0,-906.0
11.169,5,2,3,0,0,0,73,75,82,50,56,26.64,71,35.0,-46.0,-906.0
11.232,3,2,3,0,0,0,73,75,82,50,56,25.96,71,252.0,-21.0,-1090.0
11.296,4,2,3,1,1,0,73,75,82,50,56,25.62,71,144.0,-62.0,-1038.0
11.360,4,2,3,1,1,0,73,75,82,50,56,25.62,71,144.0,-62.0,-1038.0
11.423,5,0,3,1,0,0,73,75,84,50,56,25.52,71,123.0,0.0,-967.0
11.485,5,0,3,1,0,0,73,75,84,50,56,25.52,71,123.0,0.0,-967.0
