time_elapsed,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
0.001,0,5,6,0,0,0,63,65,10,0,64,25.17,20,7.0,-92.0,-994.0
0.062,0,5,6,0,0,0,63,65,10,0,64,25.17,20,7.0,-92.0,-994.0
0.124,0,5,6,0,0,0,63,65,10,0,64,25.21,20,5.0,-94.0,-996.0
0.185,0,5,6,0,0,0,63,65,10,0,64,25.21,20,5.0,-94.0,-996.0
0.247,0,5,6,0,0,0,63,65,10,0,64,25.19,20,0.0,-94.0,-993.0
0.309,0,5,6,0,0,0,63,65,10,0,64,25.19,20,12.0,-92.0,-994.0
0.372,0,5,6,0,0,0,63,65,10,0,64,25.19,20,12.0,-92.0,-994.0
0.436,0,5,6,0,0,0,63,65,10,0,64,25.19,20,-1.0,-93.0,-994.0
0.499,0,5,6,0,0,0,63,65,10,0,64,25.19,20,-1.0,-93.0,-994.0
0.561,0,5,6,0,0,0,63,65,10,0,64,25.19,20,-1.0,-102.0,-990.0
0.623,0,3,5,0,0,0,63,65,10,0,64,25.19,20,17.0,-56.0,-998.0
0.687,-1,0,5,0,0,-1,63,65,10,0,64,25.19,20,29.0,3.0,-1076.0
0.749,-1,0,5,0,0,-1,63,65,10,0,64,25.19,20,29.0,3.0,-1076.0
0.812,-1,0,5,0,0,-1,63,65,10,0,64,25.19,20,29.0,3.0,-1076.0
0.875,1,-2,5,1,0,-5,63,66,10,0,64,25.19,20,20.0,-19.0,-1159.0
0.937,1,-2,5,1,0,-5,63,66,10,0,64,25.19,20,20.0,-19.0,-1159.0
1.000,1,-2,5,1,0,-5,63,66,10,0,64,25.19,20,20.0,-19.0,-1159.0
1.063,2,-1,5,1,0,-7,63,66,11,10,64,25.37,21,65.0,9.0,-1322.0
1.126,2,0,5,0,0,-7,63,66,19,20,64,25.63,21,29.0,3.0,-1230.0
1.179,2,-1,5,0,0,-7,63,66,27,20,64,25.7,21,25.0,32.0,-1099.0
1.242,2,-1,5,0,0,-7,63,66,27,20,64,25.7,21,25.0,32.0,-1099.0
1.305,2,-2,5,0,0,-7,63,66,33,30,64,25.77,21,31.0,25.0,-1019.0
1.367,2,-2,5,0,0,-7,63,66,33,30,64,25.77,21,31.0,25.0,-1019.0
1.430,2,-2,5,0,0,-7,63,66,33,30,64,25.77,21,31.0,25.0,-1019.0
1.493,3,0,5,0,0,-6,63,66,49,40,64,25.89,21,43.0,7.0,-949.0
1.555,3,0,5,0,0,-6,63,66,49,40,64,25.89,21,43.0,7.0,-949.0
1.618,3,-1,5,0,0,-4,63,66,56,50,64,25.88,21,28.0,17.0,-913.0
1.669,3,-1,5,0,0,-4,63,66,56,50,64,25.88,21,28.0,17.0,-913.0
1.732,4,-1,5,0,0,-3,63,66,63,50,64,25.97,21,55.0,6.0,-916.0
1.795,4,-1,5,0,0,-3,63,66,63,50,64,25.97,21,55.0,6.0,-916.0
1.858,4,-1,5,0,0,-3,63,66,63,50,64,25.97,21,55.0,6.0,-916.0
1.920,2,0,5,0,0,-2,63,65,72,60,64,26.06,21,33.0,2.0,-924.0
1.983,2,0,5,0,0,-2,63,65,72,60,64,26.06,21,33.0,2.0,-924.0
2.046,2,0,5,0,0,-2,63,65,72,60,64,26.06,21,33.0,2.0,-924.0
2.109,2,0,5,0,0,-1,63,65,76,60,64,26.15,22,15.0,9.0,-959.0
2.163,2,0,5,0,0,-1,63,65,76,60,64,26.15,22,15.0,9.0,-959.0
2.226,2,0,5,0,0,-1,63,65,76,60,64,26.15,22,15.0,9.0,-959.0
2.289,2,0,5,0,0,0,63,65,80,60,64,26.13,22,18.0,6.0,-971.0
2.351,2,0,5,0,0,0,63,65,80,60,64,26.13,22,18.0,6.0,-971.0
2.415,2,0,5,0,0,0,63,65,81,70,64,26.2,22,63.0,-8.0,-1009.0
2.477,2,0,5,0,0,0,63,65,81,70,64,26.2,22,63.0,-8.0,-1009.0
2.540,2,0,5,0,0,0,63,65,81,70,64,26.2,22,63.0,-8.0,-1009.0
2.604,2,0,5,0,0,0,63,65,83,70,64,26.21,22,53.0,12.0,-995.0
2.670,2,0,5,0,0,0,63,65,83,70,64,26.21,22,53.0,12.0,-995.0
2.733,2,0,5,0,0,0,63,65,83,70,64,26.21,22,53.0,12.0,-995.0
2.796,2,0,5,0,0,0,63,65,84,70,64,26.22,22,41.0,14.0,-974.0
2.859,2,0,5,0,0,0,63,65,85,70,64,26.21,22,56.0,16.0,-981.0
2.922,3,0,5,0,0,0,64,66,85,70,64,26.21,22,53.0,19.0,-986.0
2.985,3,0,5,0,0,0,64,66,85,70,64,26.21,22,53.0,19.0,-986.0
3.047,3,0,5,0,0,0,64,66,85,70,64,26.21,22,53.0,19.0,-986.0
3.111,2,-1,5,0,0,0,64,66,86,70,64,26.21,23,47.0,22.0,-975.0
3.173,2,-1,5,0,0,0,64,66,86,70,64,26.21,23,47.0,22.0,-975.0
3.225,2,-1,5,0,0,0,64,66,86,70,64,26.21,23,47.0,22.0,-975.0
3.288,2,-1,5,0,0,0,64,66,86,70,64,26.22,23,57.0,24.0,-979.0
3.351,2,-1,5,0,0,0,64,66,86,70,64,26.23,23,45.0,29.0,-999.0
3.414,2,-1,5,0,0,0,64,66,86,70,64,26.23,23,45.0,29.0,-999.0
3.476,2,-1,5,0,0,0,64,66,86,70,64,26.23,23,45.0,29.0,-999.0
3.539,2,-2,5,0,0,0,64,66,85,70,64,26.26,23,41.0,16.0,-997.0
3.603,2,-2,5,0,0,0,64,66,85,70,64,26.26,23,41.0,16.0,-997.0
3.665,2,-2,5,0,0,0,64,66,85,70,64,26.26,23,41.0,16.0,-997.0
3.716,1,-1,5,0,0,0,64,66,85,70,64,26.22,23,37.0,28.0,-1012.0
3.779,1,-1,5,0,0,0,64,66,84,70,64,26.29,23,56.0,24.0,-1005.0
3.842,1,-1,5,0,0,0,64,66,84,70,64,26.29,23,56.0,24.0,-1005.0
3.905,1,-1,5,0,0,0,64,66,84,70,64,26.29,23,56.0,24.0,-1005.0
3.967,1,-1,4,0,0,0,64,67,84,70,64,26.31,23,53.0,30.0,-1005.0
4.030,2,0,4,0,0,0,64,67,83,70,64,26.3,24,60.0,35.0,-1013.0
4.092,2,0,4,0,0,0,64,67,83,70,64,26.3,24,60.0,35.0,-1013.0
4.155,2,-1,5,0,0,0,64,67,83,70,64,26.33,24,39.0,25.0,-978.0
4.207,2,-1,5,0,0,0,64,67,83,70,64,26.33,24,39.0,25.0,-978.0
4.270,2,-1,5,0,0,0,64,67,83,70,64,26.33,24,39.0,25.0,-978.0
4.333,2,-1,5,0,0,0,64,67,82,70,64,26.35,24,41.0,25.0,-990.0
4.395,2,-1,5,0,0,0,64,67,82,70,64,26.35,24,41.0,25.0,-990.0
4.458,2,-1,5,0,0,0,64,67,83,70,64,26.33,24,68.0,23.0,-1027.0
4.521,2,-1,5,0,0,0,64,67,83,70,64,26.33,24,68.0,23.0,-1027.0
4.583,2,-1,5,0,0,0,64,67,81,70,64,26.32,24,36.0,46.0,-1005.0
4.646,2,-1,5,0,0,0,64,67,81,70,64,26.32,24,36.0,46.0,-1005.0
4.697,2,-1,5,0,0,0,64,67,81,70,64,26.32,24,36.0,46.0,-1005.0
4.760,1,-2,5,0,0,0,64,67,81,70,64,26.31,24,35.0,36.0,-992.0
4.823,1,-2,5,0,0,0,64,67,81,70,64,26.27,24,41.0,33.0,-1031.0
4.886,1,-2,5,0,0,0,64,67,81,70,64,26.27,24,41.0,33.0,-1031.0
4.948,1,-2,5,0,0,0,64,67,81,70,64,26.27,24,41.0,33.0,-1031.0
5.012,1,-2,5,0,0,0,64,67,81,70,64,26.27,24,41.0,33.0,-1031.0
5.074,1,-2,5,0,0,0,63,66,82,70,64,26.34,25,27.0,31.0,-972.0
5.137,1,-1,5,0,0,0,63,66,82,70,64,26.39,25,36.0,29.0,-999.0
5.200,1,-1,5,0,0,0,63,66,82,70,64,26.39,25,36.0,29.0,-999.0
5.250,1,-1,5,0,0,0,63,66,82,70,64,26.37,25,12.0,35.0,-988.0
5.314,0,-1,5,0,0,0,63,66,82,70,64,26.34,25,24.0,28.0,-1003.0
5.376,0,-1,5,0,0,0,63,66,82,70,64,26.34,25,24.0,28.0,-1003.0
5.439,0,-1,5,0,0,0,63,66,82,70,64,26.34,25,24.0,28.0,-1003.0
5.502,0,-1,5,0,0,0,63,66,83,70,64,26.31,25,6.0,36.0,-1000.0
5.565,0,-1,5,0,0,0,63,66,83,70,64,26.38,25,0.0,39.0,-1002.0
5.628,0,-1,5,0,0,0,63,66,83,70,64,26.38,25,0.0,39.0,-1002.0
5.691,0,-1,5,0,0,0,63,66,83,70,64,26.36,25,23.0,32.0,-1006.0
5.742,0,-1,5,0,0,0,63,66,83,70,64,26.29,25,26.0,30.0,-1015.0
5.805,0,-1,5,0,0,0,63,66,83,70,64,26.29,25,26.0,30.0,-1015.0
5.867,0,-1,5,0,0,0,63,66,84,70,64,26.28,25,11.0,32.0,-990.0
5.930,0,-1,5,0,0,0,63,66,84,70,64,26.28,25,11.0,32.0,-990.0
5.993,0,-1,5,0,0,0,64,66,84,70,64,26.32,25,22.0,26.0,-995.0
6.055,0,-1,5,0,0,0,64,66,85,70,64,26.4,26,18.0,23.0,-994.0
6.118,0,-1,5,0,0,0,64,66,85,70,64,26.4,26,18.0,23.0,-994.0
6.181,0,-1,5,0,0,0,64,66,85,70,64,26.4,26,22.0,23.0,-1004.0
6.234,0,0,5,0,0,0,64,66,85,70,64,26.41,26,27.0,8.0,-987.0
6.296,0,0,5,0,0,0,64,66,85,70,64,26.41,26,27.0,8.0,-987.0
6.359,0,0,5,0,0,0,64,66,85,70,64,26.41,26,27.0,8.0,-987.0
6.422,0,-1,5,0,0,0,64,66,86,70,64,26.38,26,11.0,17.0,-1008.0
6.484,0,-1,5,0,0,0,64,66,86,70,64,26.38,26,11.0,17.0,-1008.0
6.547,0,-1,5,0,0,0,64,66,86,70,64,26.38,26,11.0,17.0,-1008.0
6.610,0,-1,5,0,0,0,64,66,86,70,64,26.38,26,11.0,17.0,-1008.0
6.672,0,-1,5,0,0,0,64,66,86,70,64,26.38,26,11.0,17.0,-1008.0
6.724,0,0,5,0,0,0,64,66,86,70,64,26.42,26,19.0,21.0,-985.0
6.786,0,0,5,0,0,0,64,66,86,70,64,26.44,26,16.0,13.0,-999.0
6.849,0,0,5,0,0,0,64,66,86,70,64,26.44,26,-4.0,27.0,-998.0
6.912,0,0,5,0,0,0,64,66,86,70,64,26.44,26,-4.0,27.0,-998.0
6.974,0,0,5,0,0,0,64,66,86,70,64,26.44,26,-4.0,27.0,-998.0
7.037,0,0,5,0,0,0,63,66,86,70,64,26.47,27,0.0,28.0,-1009.0
7.100,0,0,5,0,0,0,63,66,86,70,64,26.47,27,0.0,28.0,-1009.0
7.162,0,0,5,0,0,0,63,66,86,70,64,26.47,27,0.0,28.0,-1009.0
7.229,0,0,5,0,0,0,63,66,86,70,64,26.48,27,13.0,13.0,-994.0
7.292,0,0,5,0,0,0,63,66,86,70,64,26.44,27,9.0,32.0,-1011.0
7.355,0,0,5,0,0,0,63,66,86,70,64,26.44,27,29.0,19.0,-985.0
7.417,0,0,5,0,0,0,63,66,86,70,64,26.44,27,29.0,19.0,-985.0
7.480,0,0,5,0,0,0,63,66,86,70,64,26.49,27,37.0,7.0,-1006.0
7.543,0,0,5,0,0,0,63,66,87,70,64,26.49,27,1.0,18.0,-991.0
7.606,0,0,5,0,0,0,63,66,87,70,64,26.49,27,1.0,18.0,-991.0
7.669,0,0,5,0,0,0,63,66,87,70,64,26.49,27,1.0,18.0,-991.0
7.732,0,0,5,0,0,0,63,66,87,70,64,26.49,27,3.0,9.0,-978.0
7.782,0,0,5,0,0,0,63,66,87,70,64,26.53,27,27.0,16.0,-1003.0
7.845,0,0,5,0,0,0,63,66,87,70,64,26.53,27,27.0,16.0,-1003.0
7.908,0,0,5,0,0,0,63,66,87,70,64,26.55,27,1.0,29.0,-1010.0
7.971,0,0,5,0,0,0,63,66,87,70,64,26.55,27,1.0,29.0,-1010.0
8.034,0,0,5,0,0,0,64,66,87,70,64,26.53,27,13.0,23.0,-990.0
8.096,0,0,5,0,0,0,64,66,88,70,64,26.48,28,25.0,15.0,-980.0
8.159,0,0,5,0,0,0,64,66,88,70,64,26.48,28,25.0,15.0,-980.0
8.222,0,0,5,0,0,0,64,66,88,80,64,26.54,28,12.0,27.0,-1000.0
8.274,0,-1,5,0,0,0,64,66,88,80,64,26.5,28,27.0,18.0,-1008.0
8.337,0,-1,5,0,0,0,64,66,88,80,64,26.5,28,27.0,18.0,-1008.0
8.400,0,0,5,0,0,0,64,66,88,80,64,26.5,28,16.0,20.0,-987.0
8.462,0,0,5,0,0,0,64,66,88,80,64,26.5,28,16.0,20.0,-987.0
8.525,0,0,5,0,0,0,64,66,88,80,64,26.56,28,23.0,11.0,-1000.0
8.588,0,0,5,0,0,0,64,66,87,80,64,26.6,28,0.0,17.0,-972.0
8.651,0,0,5,0,0,0,64,66,87,80,64,26.56,28,13.0,30.0,-1010.0
8.713,0,0,5,0,0,0,64,66,87,80,64,26.56,28,13.0,30.0,-1010.0
8.765,0,0,5,0,0,0,64,66,88,80,64,26.55,28,11.0,25.0,-997.0
8.828,0,0,5,0,0,0,64,66,88,80,64,26.55,28,11.0,25.0,-997.0
8.891,0,0,5,0,0,0,64,66,87,70,64,26.58,28,1.0,37.0,-994.0
8.953,0,0,5,0,0,0,64,66,87,70,64,26.49,28,31.0,31.0,-1002.0
9.016,0,0,5,0,0,0,64,66,87,70,64,26.49,28,31.0,31.0,-1002.0
9.078,0,-1,5,0,0,0,64,66,87,70,64,26.52,29,41.0,20.0,-1019.0
9.141,0,-1,5,0,0,0,64,66,87,70,64,26.54,29,30.0,25.0,-1011.0
9.204,0,-1,5,0,0,0,64,66,87,70,64,26.54,29,30.0,25.0,-1011.0
9.255,0,0,5,0,0,0,64,66,88,70,64,26.49,29,18.0,35.0,-1001.0
9.318,0,0,5,0,0,0,64,66,88,70,64,26.49,29,18.0,35.0,-1001.0
9.381,0,0,5,0,0,0,64,66,88,70,64,26.54,29,27.0,34.0,-996.0
9.444,0,-1,5,0,0,0,64,66,88,70,64,26.57,29,7.0,35.0,-987.0
9.507,0,-1,5,0,0,0,64,66,88,70,64,26.57,29,7.0,35.0,-987.0
9.569,0,-1,5,0,0,0,64,66,88,80,64,26.51,29,26.0,27.0,-1002.0
9.632,0,-1,5,0,0,0,64,66,88,80,64,26.51,29,26.0,27.0,-1002.0
9.695,0,-1,5,0,0,0,64,66,88,80,64,26.49,29,27.0,27.0,-996.0
9.757,0,-1,5,0,0,0,64,66,88,80,64,26.52,29,29.0,25.0,-997.0
9.808,0,-1,5,0,0,0,64,66,88,80,64,26.52,29,29.0,25.0,-997.0
9.871,0,-1,5,0,0,0,64,66,89,80,64,26.43,29,43.0,25.0,-986.0
9.934,0,-1,5,0,0,0,64,66,89,80,64,26.43,29,43.0,25.0,-986.0
9.996,0,-1,5,0,0,0,64,66,89,80,64,26.48,29,19.0,30.0,-981.0
10.059,0,-1,5,0,0,0,64,66,89,80,64,26.48,29,19.0,30.0,-981.0
10.122,0,-1,5,0,0,0,64,66,89,80,64,26.38,30,20.0,25.0,-991.0
10.184,0,-1,5,0,0,0,64,66,89,80,64,25.71,30,-4.0,25.0,-976.0
10.248,0,-1,5,0,0,0,64,66,89,80,64,25.71,30,-4.0,25.0,-976.0
10.299,1,-1,5,0,0,0,64,66,88,80,64,27.03,30,-64.0,-36.0,-1057.0
10.362,-4,0,7,0,0,1,64,66,86,70,64,29.0,30,-122.0,-16.0,-502.0
10.425,-4,0,7,0,0,1,64,66,86,70,64,29.0,30,-122.0,-16.0,-502.0
10.488,-1,-3,21,-3,-1,4,64,66,81,70,64,26.97,30,-141.0,163.0,-1357.0
10.550,-1,-3,21,-3,-1,4,64,66,81,70,64,26.97,30,-141.0,163.0,-1357.0
10.613,-3,2,41,-4,-1,2,64,66,80,70,64,27.09,30,96.0,141.0,-1044.0
10.676,-3,-2,68,-5,1,1,64,66,80,70,64,27.14,30,134.0,71.0,-1118.0
10.739,-3,-2,68,-5,1,1,64,66,80,70,64,27.14,30,134.0,71.0,-1118.0
10.791,0,-5,98,-4,2,0,64,66,80,70,64,26.77,30,130.0,56.0,-1086.0
10.854,0,-5,98,-4,2,0,64,66,80,70,64,26.77,30,130.0,56.0,-1086.0
10.917,1,-2,123,-4,3,0,64,66,80,70,63,26.63,30,73.0,28.0,-982.0
10.979,1,-2,123,-4,3,0,64,66,80,70,63,26.63,30,73.0,28.0,-982.0
11.042,3,-2,137,-4,3,0,63,66,81,70,63,26.49,30,67.0,-18.0,-1022.0
11.105,5,-3,141,-3,4,0,63,66,84,70,63,26.67,31,51.0,-68.0,-989.0
11.168,5,-2,138,-2,5,0,63,66,85,70,63,26.92,31,39.0,-47.0,-1187.0
11.230,5,-2,138,-2,5,0,63,66,85,70,63,26.92,31,39.0,-47.0,-1187.0
11.281,5,-2,138,-2,5,0,63,66,85,70,63,26.92,31,39.0,-47.0,-1187.0
11.344,3,6,133,-2,5,-1,63,66,87,70,63,26.31,31,69.0,-20.0,-948.0
11.406,4,0,130,-2,5,-1,63,66,90,70,63,26.44,31,152.0,30.0,-1046.0
11.469,4,0,130,-2,5,-1,63,66,90,70,63,26.44,31,152.0,30.0,-1046.0
11.532,4,0,122,-3,5,-1,63,66,94,70,63,26.38,31,34.0,1.0,-926.0
11.595,5,-4,111,-2,5,-1,63,66,95,80,63,26.5,31,26.0,-23.0,-864.0
11.657,5,-4,111,-2,5,-1,63,66,95,80,63,26.5,31,26.0,-23.0,-864.0
11.720,6,-4,95,-1,5,0,63,66,96,80,63,26.72,31,67.0,-30.0,-925.0
11.783,5,-2,81,0,2,0,63,66,95,80,63,26.51,31,5.0,32.0,-887.0
11.834,5,-2,81,0,2,0,63,66,95,80,63,26.51,31,5.0,32.0,-887.0
11.897,5,-2,81,0,2,0,63,66,95,80,63,26.51,31,5.0,32.0,-887.0
11.960,2,-6,68,0,1,0,63,66,94,80,63,26.37,31,66.0,-9.0,-988.0
12.023,2,-7,54,0,0,0,65,67,93,80,63,26.63,31,45.0,17.0,-995.0
12.085,0,-7,42,1,0,0,65,67,92,80,63,26.52,32,69.0,-3.0,-1016.0
12.148,0,-7,42,1,0,0,65,67,92,80,63,26.52,32,69.0,-3.0,-1016.0
12.211,0,-3,31,2,0,0,65,67,90,80,63,26.41,32,35.0,57.0,-1010.0
12.274,0,-3,31,2,0,0,65,67,90,80,63,26.41,32,35.0,57.0,-1010.0
12.325,0,-4,25,3,0,0,65,67,89,80,63,26.35,32,32.0,22.0,-998.0
12.388,0,-3,21,3,0,0,65,67,88,80,63,26.42,32,28.0,59.0,-997.0
12.451,0,-4,18,3,-1,0,65,67,87,80,63,26.34,32,57.0,44.0,-992.0
12.513,0,-4,18,3,-1,0,65,67,87,80,63,26.34,32,57.0,44.0,-992.0
12.576,0,-4,18,3,-1,0,65,67,87,80,63,26.34,32,57.0,44.0,-992.0
12.638,0,-4,18,3,-1,0,65,67,87,80,63,26.34,32,57.0,44.0,-992.0
12.701,0,-4,18,3,-1,0,65,67,87,80,63,26.34,32,57.0,44.0,-992.0
12.764,1,-5,3,3,-2,0,65,67,82,70,63,26.17,32,51.0,12.0,-1046.0
12.815,1,-5,3,3,-2,0,65,67,82,70,63,26.17,32,51.0,12.0,-1046.0
12.878,1,-3,2,3,-3,0,65,67,81,70,62,26.36,32,10.0,69.0,-992.0
12.941,1,-3,2,3,-3,0,65,67,81,70,62,26.36,32,10.0,69.0,-992.0
13.004,2,0,2,3,-3,0,64,66,81,70,62,26.2,32,34.0,56.0,-1046.0
13.066,2,0,2,3,-3,0,64,66,81,70,62,26.2,32,34.0,56.0,-1046.0
13.129,2,0,2,3,-3,0,64,66,81,70,62,26.2,32,34.0,56.0,-1046.0
13.192,3,0,2,3,-2,0,64,66,81,70,62,26.24,33,49.0,40.0,-1007.0
13.255,3,0,2,3,-2,0,64,66,81,70,62,26.24,33,49.0,40.0,-1007.0
13.305,3,0,2,3,-2,0,64,66,82,70,62,26.21,33,30.0,35.0,-995.0
13.368,3,0,3,2,-1,0,64,66,82,70,62,26.2,33,25.0,45.0,-1008.0
13.431,3,0,3,2,-1,0,64,66,82,70,62,26.2,33,25.0,45.0,-1008.0
13.493,3,0,3,2,-1,0,64,66,82,70,62,26.2,33,25.0,45.0,-1008.0
13.557,3,0,3,2,-2,0,64,66,83,70,62,26.23,33,37.0,30.0,-993.0
13.619,3,0,3,1,-2,0,64,66,83,70,62,26.23,33,44.0,27.0,-996.0
13.682,3,0,3,1,-2,0,64,66,83,70,62,26.23,33,44.0,27.0,-996.0
13.745,3,0,3,1,-2,0,64,66,83,70,62,26.23,33,44.0,27.0,-996.0
13.808,2,1,3,1,-1,0,64,66,83,70,62,26.15,33,58.0,15.0,-985.0
13.859,2,1,3,1,-1,0,64,66,83,70,62,26.15,33,58.0,15.0,-985.0
13.922,2,1,3,1,-1,0,64,66,83,70,62,26.21,33,41.0,21.0,-970.0
13.986,2,1,3,1,-1,0,64,66,83,70,62,26.21,33,41.0,21.0,-970.0
14.049,2,1,3,1,-1,0,64,66,83,70,62,26.21,33,41.0,21.0,-970.0
14.112,2,1,3,0,0,0,65,66,85,70,62,26.29,34,49.0,16.0,-1000.0
14.174,2,1,3,0,0,0,65,66,85,70,62,26.29,34,49.0,16.0,-1000.0
14.237,2,1,4,0,0,0,65,66,86,70,62,26.26,34,46.0,20.0,-994.0
14.300,2,1,4,0,0,0,65,66,87,70,62,26.22,34,32.0,21.0,-994.0
14.351,2,1,4,0,0,0,65,66,87,70,62,26.22,34,32.0,21.0,-994.0
14.414,2,1,4,0,0,0,65,66,87,70,62,26.22,34,32.0,21.0,-994.0
14.477,1,1,4,0,0,0,65,66,89,70,62,26.25,34,39.0,21.0,-1001.0
